
°­¼öÀÏ¼ö
ÁöÁ¡/Áö¿ª¸í : °­¸ª

Æò±Õ °­¼öÀÏ¼ö
¿¬µµ,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù,¿¬ÇÕ°è,¼øÀ§
1991,8.0,5.0,11.0,6.0,10.0,4.0,22.0,15.0,12.0,2.0,2.0,10.0,107.0,22
1992,8.0,3.0,12.0,10.0,10.0,7.0,11.0,24.0,14.0,13.0,5.0,9.0,126.0,5
1993,7.0,7.0,11.0,11.0,8.0,12.0,18.0,20.0,3.0,5.0,12.0,4.0,118.0,10
1994,7.0,3.0,4.0,5.0,8.0,8.0,12.0,10.0,9.0,8.0,9.0,4.0,87.0,30
1995,1.0,7.0,14.0,6.0,5.0,14.0,14.0,17.0,12.0,3.0,4.0,2.0,99.0,28
1996,6.0,6.0,12.0,6.0,9.0,15.0,18.0,14.0,5.0,10.0,9.0,4.0,114.0,15
1997,7.0,6.0,6.0,6.0,17.0,11.0,6.0,13.0,15.0,4.0,13.0,9.0,113.0,17
1998,10.0,14.0,3.0,13.0,9.0,15.0,25.0,21.0,10.0,10.0,9.0,5.0,144.0,1
1999,2.0,3.0,10.0,9.0,6.0,10.0,14.0,17.0,13.0,9.0,6.0,2.0,101.0,26
2000,12.0,2.0,4.0,7.0,13.0,13.0,11.0,15.0,13.0,5.0,7.0,4.0,106.0,23
2001,7.0,9.0,7.0,7.0,11.0,14.0,14.0,15.0,14.0,11.0,3.0,4.0,116.0,11
2002,10.0,0.0,8.0,5.0,11.0,9.0,19.0,19.0,12.0,9.0,1.0,12.0,115.0,13
2003,7.0,12.0,9.0,11.0,8.0,13.0,22.0,19.0,17.0,3.0,14.0,2.0,137.0,3
2004,2.0,6.0,2.0,8.0,13.0,6.0,17.0,14.0,13.0,3.0,7.0,6.0,97.0,29
2005,3.0,7.0,8.0,7.0,9.0,13.0,14.0,14.0,16.0,10.0,2.0,1.0,104.0,25
2006,8.0,4.0,9.0,11.0,10.0,11.0,24.0,13.0,9.0,8.0,10.0,3.0,120.0,7
2007,6.0,5.0,13.0,14.0,11.0,12.0,17.0,18.0,18.0,10.0,8.0,5.0,137.0,2
2008,9.0,0.0,10.0,10.0,8.0,14.0,10.0,15.0,6.0,7.0,6.0,4.0,99.0,27
2009,4.0,6.0,12.0,8.0,10.0,15.0,16.0,12.0,7.0,7.0,12.0,4.0,113.0,16
2010,5.0,11.0,15.0,10.0,8.0,8.0,14.0,20.0,14.0,8.0,2.0,4.0,119.0,9
2011,3.0,5.0,5.0,11.0,9.0,11.0,24.0,16.0,14.0,7.0,9.0,6.0,120.0,6
2012,9.0,3.0,12.0,7.0,10.0,13.0,13.0,20.0,10.0,5.0,6.0,6.0,114.0,14
2013,8.0,7.0,10.0,12.0,9.0,9.0,20.0,12.0,15.0,11.0,8.0,8.0,129.0,4
2014,6.0,13.0,8.0,9.0,6.0,15.0,12.0,20.0,11.0,10.0,8.0,1.0,119.0,8
2015,6.0,7.0,3.0,12.0,6.0,9.0,17.0,14.0,7.0,5.0,19.0,5.0,110.0,18
2016,3.0,7.0,7.0,10.0,8.0,10.0,13.0,15.0,15.0,15.0,6.0,6.0,115.0,12
2017,6.0,1.0,8.0,10.0,5.0,8.0,19.0,20.0,8.0,14.0,5.0,1.0,105.0,24
2018,2.0,1.0,10.0,11.0,15.0,5.0,12.0,16.0,14.0,9.0,8.0,5.0,108.0,20
2019,4.0,4.0,12.0,7.0,3.0,14.0,17.0,11.0,13.0,11.0,9.0,2.0,107.0,21
2020,11.0,6.0,9.0,9.0,9.0,7.0,16.0,22.0,16.0,2.0,1.0,1.0,109.0,19
Æò±Õ,6.2,5.7,8.8,8.9,9.1,10.8,16.0,16.4,11.8,7.8,7.3,4.6


Æò±Õ °èÀýº° °­¼öÀÏ¼ö
¿¬µµ,º½(3~5¿ù),¿©¸§(6~8¿ù),°¡À»(9~11¿ù),°Ü¿ï(12~ÀÍ³â2¿ù)
1991,27.0,41.0,16.0,21.0
1992,32.0,42.0,32.0,23.0
1993,30.0,50.0,20.0,14.0
1994,17.0,30.0,26.0,12.0
1995,25.0,45.0,19.0,14.0
1996,27.0,47.0,24.0,17.0
1997,29.0,30.0,32.0,33.0
1998,25.0,61.0,29.0,10.0
1999,25.0,41.0,28.0,16.0
2000,24.0,39.0,25.0,20.0
2001,25.0,43.0,28.0,14.0
2002,24.0,47.0,22.0,31.0
2003,28.0,54.0,34.0,10.0
2004,23.0,37.0,23.0,16.0
2005,24.0,41.0,28.0,13.0
2006,30.0,48.0,27.0,14.0
2007,38.0,47.0,36.0,14.0
2008,28.0,39.0,19.0,14.0
2009,30.0,43.0,26.0,20.0
2010,33.0,42.0,24.0,12.0
2011,25.0,51.0,30.0,18.0
2012,29.0,46.0,21.0,21.0
2013,31.0,41.0,34.0,27.0
2014,23.0,47.0,29.0,14.0
2015,21.0,40.0,31.0,15.0
2016,25.0,38.0,36.0,13.0
2017,23.0,47.0,27.0,4.0
2018,36.0,33.0,31.0,13.0
2019,22.0,42.0,33.0,19.0
2020,27.0,45.0,19.0,7.0
Æò±Õ	,26.9,43.2,27.0,16.3


°­¼öÀÏ¼ö °üÃø°ª
¿¬µµ,³¯Â¥,ÁöÁ¡,°üÃø°ª
1991,0107,°­¸ª,1
1991,0117,°­¸ª,1.3
1991,0121,°­¸ª,5.8
1991,0122,°­¸ª,8.6
1991,0123,°­¸ª,0.1
1991,0124,°­¸ª,0.5
1991,0127,°­¸ª,0.5
1991,0128,°­¸ª,0.1
1991,0207,°­¸ª,3
1991,0209,°­¸ª,0.1
1991,0210,°­¸ª,17.1
1991,0214,°­¸ª,1.1
1991,0215,°­¸ª,28.9
1991,0307,°­¸ª,0.5
1991,0308,°­¸ª,22.6
1991,0309,°­¸ª,9.8
1991,0310,°­¸ª,11.4
1991,0311,°­¸ª,15.2
1991,0320,°­¸ª,4.9
1991,0324,°­¸ª,0.8
1991,0325,°­¸ª,0.4
1991,0326,°­¸ª,2
1991,0327,°­¸ª,34.7
1991,0328,°­¸ª,1.3
1991,0412,°­¸ª,2.5
1991,0413,°­¸ª,4.7
1991,0417,°­¸ª,16
1991,0418,°­¸ª,29.1
1991,0429,°­¸ª,8.6
1991,0430,°­¸ª,3.7
1991,0502,°­¸ª,0.4
1991,0506,°­¸ª,2.3
1991,0507,°­¸ª,1.5
1991,0508,°­¸ª,0.3
1991,0510,°­¸ª,0.6
1991,0515,°­¸ª,1.2
1991,0524,°­¸ª,6.9
1991,0525,°­¸ª,24.5
1991,0526,°­¸ª,83.6
1991,0527,°­¸ª,0.3
1991,0609,°­¸ª,11.4
1991,0611,°­¸ª,0.7
1991,0612,°­¸ª,0.4
1991,0629,°­¸ª,36.9
1991,0701,°­¸ª,0.3
1991,0707,°­¸ª,72.1
1991,0708,°­¸ª,0.8
1991,0709,°­¸ª,0.3
1991,0710,°­¸ª,0.7
1991,0711,°­¸ª,0.1
1991,0712,°­¸ª,0.2
1991,0713,°­¸ª,0.3
1991,0714,°­¸ª,3.2
1991,0715,°­¸ª,19.7
1991,0716,°­¸ª,0.1
1991,0719,°­¸ª,1.6
1991,0720,°­¸ª,7.4
1991,0721,°­¸ª,5.5
1991,0723,°­¸ª,2.9
1991,0724,°­¸ª,14.6
1991,0725,°­¸ª,47.5
1991,0726,°­¸ª,20
1991,0728,°­¸ª,0.7
1991,0729,°­¸ª,47.2
1991,0730,°­¸ª,0.8
1991,0731,°­¸ª,0.5
1991,0801,°­¸ª,2.3
1991,0802,°­¸ª,40.7
1991,0804,°­¸ª,2.9
1991,0805,°­¸ª,27.4
1991,0806,°­¸ª,1.7
1991,0809,°­¸ª,10.8
1991,0810,°­¸ª,9.6
1991,0811,°­¸ª,7.4
1991,0822,°­¸ª,24.3
1991,0823,°­¸ª,123.6
1991,0824,°­¸ª,48.2
1991,0825,°­¸ª,2.3
1991,0826,°­¸ª,0.5
1991,0829,°­¸ª,0.3
1991,0830,°­¸ª,0.1
1991,0903,°­¸ª,0.6
1991,0904,°­¸ª,15.3
1991,0905,°­¸ª,9.9
1991,0906,°­¸ª,21.3
1991,0911,°­¸ª,0.7
1991,0913,°­¸ª,14.1
1991,0914,°­¸ª,5.5
1991,0919,°­¸ª,1.3
1991,0920,°­¸ª,0.2
1991,0921,°­¸ª,2.2
1991,0926,°­¸ª,12.7
1991,0927,°­¸ª,131.2
1991,1014,°­¸ª,72.9
1991,1016,°­¸ª,0.7
1991,1107,°­¸ª,0.1
1991,1119,°­¸ª,4.4
1991,1207,°­¸ª,24.1
1991,1208,°­¸ª,53.9
1991,1210,°­¸ª,0.1
1991,1217,°­¸ª,30.6
1991,1218,°­¸ª,9.4
1991,1219,°­¸ª,10
1991,1220,°­¸ª,0.1
1991,1225,°­¸ª,63
1991,1226,°­¸ª,27.5
1991,1227,°­¸ª,14.9
1992,0106,°­¸ª,15.8
1992,0107,°­¸ª,0.5
1992,0109,°­¸ª,11.2
1992,0113,°­¸ª,24.4
1992,0114,°­¸ª,2
1992,0128,°­¸ª,0.1
1992,0130,°­¸ª,13.4
1992,0131,°­¸ª,36.3
1992,0201,°­¸ª,0.2
1992,0203,°­¸ª,1.5
1992,0229,°­¸ª,10
1992,0301,°­¸ª,16.4
1992,0302,°­¸ª,3.7
1992,0303,°­¸ª,5
1992,0304,°­¸ª,0.3
1992,0305,°­¸ª,26.9
1992,0306,°­¸ª,4.4
1992,0316,°­¸ª,13.7
1992,0317,°­¸ª,2
1992,0318,°­¸ª,7.9
1992,0321,°­¸ª,20
1992,0323,°­¸ª,16.6
1992,0324,°­¸ª,1.5
1992,0406,°­¸ª,0.2
1992,0407,°­¸ª,5
1992,0410,°­¸ª,37
1992,0411,°­¸ª,7.2
1992,0412,°­¸ª,0.2
1992,0415,°­¸ª,3.2
1992,0418,°­¸ª,16
1992,0421,°­¸ª,0.2
1992,0428,°­¸ª,1.2
1992,0430,°­¸ª,6.4
1992,0506,°­¸ª,0.1
1992,0507,°­¸ª,33.7
1992,0508,°­¸ª,1.6
1992,0513,°­¸ª,12
1992,0522,°­¸ª,1.5
1992,0523,°­¸ª,22.3
1992,0524,°­¸ª,16.5
1992,0526,°­¸ª,6.8
1992,0527,°­¸ª,2.8
1992,0528,°­¸ª,0.1
1992,0604,°­¸ª,21.2
1992,0605,°­¸ª,3
1992,0617,°­¸ª,23.7
1992,0618,°­¸ª,18
1992,0619,°­¸ª,0.6
1992,0622,°­¸ª,2.6
1992,0623,°­¸ª,0.3
1992,0702,°­¸ª,6.8
1992,0704,°­¸ª,0.8
1992,0710,°­¸ª,31.2
