
강수일수
지점/지역명 : 대전

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1991,10.0,12.0,13.0,5.0,9.0,10.0,22.0,11.0,8.0,5.0,4.0,10.0,119.0,8
1992,9.0,7.0,12.0,11.0,11.0,7.0,12.0,12.0,10.0,11.0,7.0,12.0,121.0,6
1993,7.0,9.0,7.0,8.0,10.0,10.0,18.0,16.0,6.0,8.0,13.0,10.0,122.0,5
1994,8.0,5.0,8.0,5.0,10.0,7.0,7.0,14.0,5.0,7.0,6.0,9.0,91.0,30
1995,8.0,4.0,11.0,7.0,6.0,7.0,16.0,15.0,8.0,5.0,9.0,8.0,104.0,24
1996,8.0,6.0,11.0,5.0,5.0,15.0,15.0,8.0,5.0,7.0,16.0,10.0,111.0,21
1997,7.0,6.0,5.0,7.0,14.0,7.0,14.0,13.0,4.0,4.0,9.0,8.0,98.0,28
1998,13.0,10.0,4.0,11.0,8.0,13.0,19.0,20.0,5.0,5.0,7.0,2.0,117.0,13
1999,6.0,9.0,9.0,8.0,8.0,8.0,14.0,18.0,14.0,10.0,5.0,8.0,117.0,12
2000,11.0,5.0,6.0,5.0,10.0,15.0,14.0,19.0,13.0,5.0,8.0,8.0,119.0,7
2001,11.0,6.0,6.0,5.0,4.0,12.0,17.0,11.0,4.0,9.0,6.0,9.0,100.0,26
2002,11.0,3.0,8.0,7.0,9.0,7.0,11.0,19.0,10.0,10.0,9.0,9.0,113.0,19
2003,10.0,7.0,13.0,12.0,7.0,10.0,26.0,20.0,12.0,4.0,10.0,5.0,136.0,2
2004,8.0,9.0,5.0,8.0,15.0,10.0,15.0,15.0,14.0,3.0,8.0,8.0,118.0,11
2005,9.0,7.0,8.0,7.0,6.0,10.0,15.0,17.0,13.0,6.0,6.0,14.0,118.0,10
2006,4.0,8.0,6.0,10.0,9.0,10.0,24.0,17.0,7.0,3.0,10.0,7.0,115.0,16
2007,6.0,4.0,15.0,7.0,10.0,12.0,16.0,20.0,18.0,7.0,5.0,11.0,131.0,3
2008,7.0,4.0,7.0,9.0,6.0,11.0,16.0,14.0,7.0,4.0,6.0,7.0,98.0,27
2009,9.0,6.0,9.0,5.0,10.0,10.0,19.0,10.0,6.0,5.0,7.0,14.0,110.0,22
2010,7.0,11.0,14.0,10.0,9.0,7.0,21.0,19.0,15.0,5.0,7.0,12.0,137.0,1
2011,4.0,5.0,3.0,12.0,8.0,11.0,23.0,17.0,8.0,7.0,9.0,6.0,113.0,18
2012,9.0,7.0,12.0,11.0,3.0,7.0,15.0,18.0,15.0,4.0,13.0,14.0,128.0,4
2013,9.0,7.0,8.0,10.0,8.0,11.0,17.0,12.0,8.0,4.0,13.0,9.0,116.0,15
2014,5.0,5.0,10.0,6.0,7.0,11.0,17.0,16.0,5.0,7.0,7.0,16.0,112.0,20
2015,10.0,4.0,5.0,15.0,4.0,10.0,14.0,7.0,4.0,7.0,16.0,12.0,108.0,23
2016,10.0,9.0,3.0,11.0,8.0,10.0,14.0,10.0,11.0,11.0,11.0,10.0,118.0,9
2017,7.0,10.0,9.0,8.0,6.0,8.0,21.0,16.0,6.0,5.0,8.0,10.0,114.0,17
2018,7.0,6.0,11.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,5.0,7.0,95.0,29
2019,4.0,5.0,8.0,11.0,5.0,8.0,12.0,13.0,13.0,4.0,7.0,11.0,101.0,25
2020,6.0,13.0,4.0,4.0,11.0,14.0,21.0,20.0,11.0,3.0,7.0,2.0,116.0,14
평균,8.0,7.0,8.3,8.3,8.2,9.9,16.4,14.8,9.1,6.1,8.5,9.3


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
1991,27.0,43.0,17.0,26.0
1992,34.0,31.0,28.0,28.0
1993,25.0,44.0,27.0,23.0
1994,23.0,28.0,18.0,21.0
1995,24.0,38.0,22.0,22.0
1996,21.0,38.0,28.0,23.0
1997,26.0,34.0,17.0,31.0
1998,23.0,52.0,17.0,17.0
1999,25.0,40.0,29.0,24.0
2000,21.0,48.0,26.0,25.0
2001,15.0,40.0,19.0,23.0
2002,24.0,37.0,29.0,26.0
2003,32.0,56.0,26.0,22.0
2004,28.0,40.0,25.0,24.0
2005,21.0,42.0,25.0,26.0
2006,25.0,51.0,20.0,17.0
2007,32.0,48.0,30.0,22.0
2008,22.0,41.0,17.0,22.0
2009,24.0,39.0,18.0,32.0
2010,33.0,47.0,27.0,21.0
2011,23.0,51.0,24.0,22.0
2012,26.0,40.0,32.0,30.0
2013,26.0,40.0,25.0,19.0
2014,23.0,44.0,19.0,30.0
2015,24.0,31.0,27.0,31.0
2016,22.0,34.0,33.0,27.0
2017,23.0,45.0,19.0,23.0
2018,29.0,24.0,22.0,16.0
2019,24.0,33.0,24.0,30.0
2020,19.0,55.0,21.0,20.0
평균	,24.8,41.1,23.7,24.1


강수일수 관측값
연도,날짜,지점,관측값
1991,0101,대전,2.4
1991,0103,대전,3.5
1991,0107,대전,2.7
1991,0108,대전,0.1
1991,0112,대전,0.3
1991,0115,대전,0.1
1991,0117,대전,2
1991,0121,대전,4.6
1991,0122,대전,1.5
1991,0124,대전,6
1991,0204,대전,1
1991,0207,대전,5.3
1991,0209,대전,4.1
1991,0210,대전,10
1991,0211,대전,2.2
1991,0214,대전,1.1
1991,0215,대전,16.7
1991,0220,대전,0.9
1991,0221,대전,0.8
1991,0222,대전,3.2
1991,0227,대전,9.7
1991,0228,대전,1.9
1991,0307,대전,2.3
1991,0308,대전,32.4
1991,0309,대전,1.5
1991,0310,대전,15
1991,0311,대전,1.1
1991,0315,대전,1
1991,0316,대전,1.6
1991,0320,대전,1.1
1991,0322,대전,0.8
1991,0325,대전,2.3
1991,0326,대전,8.3
1991,0327,대전,21.8
1991,0328,대전,0.2
1991,0413,대전,10.9
1991,0417,대전,45.3
1991,0418,대전,6.7
1991,0429,대전,6.1
1991,0430,대전,0.4
1991,0506,대전,5.6
1991,0507,대전,3.4
1991,0508,대전,4.2
1991,0515,대전,4.9
1991,0516,대전,1.6
1991,0524,대전,12.4
1991,0525,대전,2.3
1991,0526,대전,15.6
1991,0527,대전,0.2
1991,0601,대전,7.5
1991,0602,대전,4.9
1991,0603,대전,13.2
1991,0609,대전,51.7
1991,0611,대전,53
1991,0612,대전,4.9
1991,0625,대전,0.1
1991,0626,대전,2.1
1991,0628,대전,26.8
1991,0629,대전,4.8
1991,0701,대전,2.5
1991,0707,대전,68.9
1991,0708,대전,6.2
1991,0709,대전,22
1991,0710,대전,17.1
1991,0711,대전,14.2
1991,0712,대전,23.1
1991,0715,대전,24.7
1991,0716,대전,0.8
1991,0717,대전,1.4
1991,0718,대전,6.5
1991,0719,대전,0.1
1991,0720,대전,2.5
1991,0721,대전,0.5
1991,0723,대전,34.4
1991,0724,대전,1.6
1991,0725,대전,17.9
1991,0726,대전,0.4
1991,0728,대전,0.1
1991,0729,대전,4.5
1991,0730,대전,2.4
1991,0731,대전,23.2
1991,0801,대전,37.6
1991,0802,대전,16.5
1991,0804,대전,22.1
1991,0805,대전,2.4
1991,0806,대전,2.3
1991,0809,대전,13.1
1991,0810,대전,2.1
1991,0822,대전,6.3
1991,0823,대전,31.4
1991,0824,대전,2
1991,0831,대전,3.2
1991,0903,대전,1
1991,0904,대전,39.2
1991,0905,대전,39.6
1991,0906,대전,24.6
1991,0919,대전,0.5
1991,0920,대전,1
1991,0926,대전,46.9
1991,0927,대전,65.5
1991,1004,대전,3.9
1991,1016,대전,10.6
1991,1017,대전,0.1
1991,1022,대전,0.3
1991,1025,대전,1.2
1991,1107,대전,6.5
1991,1110,대전,1.5
1991,1119,대전,2.9
1991,1123,대전,7.7
1991,1208,대전,0.3
1991,1210,대전,6.4
1991,1211,대전,0.1
1991,1217,대전,19.5
1991,1224,대전,2.1
1991,1225,대전,12.4
1991,1226,대전,4.8
1991,1227,대전,9.6
1991,1228,대전,1.6
1991,1229,대전,0.2
1992,0106,대전,3.7
1992,0107,대전,0.5
1992,0109,대전,0.2
1992,0110,대전,0.2
1992,0114,대전,0.6
1992,0116,대전,1.7
1992,0117,대전,0.2
1992,0128,대전,0.1
1992,0131,대전,5.4
1992,0202,대전,1.4
1992,0203,대전,16.5
1992,0206,대전,1.2
1992,0215,대전,1.8
1992,0223,대전,2.7
1992,0228,대전,2
1992,0229,대전,1.4
1992,0301,대전,0.2
1992,0304,대전,0.3
1992,0305,대전,14
1992,0306,대전,0.3
1992,0314,대전,0.2
1992,0316,대전,0.1
1992,0317,대전,2.1
1992,0318,대전,6.6
1992,0320,대전,2.2
1992,0321,대전,4.7
1992,0323,대전,15.4
1992,0331,대전,0.4
1992,0401,대전,3.2
1992,0408,대전,8.6
1992,0409,대전,30.4
1992,0410,대전,36.8
1992,0411,대전,3.5
1992,0415,대전,3.1
1992,0416,대전,0.1
1992,0418,대전,14.3
1992,0421,대전,13.1
1992,0429,대전,3.6
1992,0430,대전,3.2
1992,0506,대전,8.4
1992,0507,대전,43.3
1992,0508,대전,1
1992,0513,대전,12.7
1992,0516,대전,0.3
1992,0522,대전,0.2
1992,0523,대전,0.1
1992,0525,대전,12.9
1992,0526,대전,7.1
1992,0527,대전,4.7
1992,0529,대전,1.6
1992,0604,대전,3.4
1992,0607,대전,8
1992,0609,대전,0.1
1992,0610,대전,1.7
1992,0613,대전,5.2
1992,0617,대전,0.1
1992,0619,대전,5.9
1992,0702,대전,5.3
1992,0709,대전,0.2
1992,0710,대전,19.3
1992,0711,대전,1
1992,0712,대전,19.9
1992,0713,대전,44.7
1992,0715,대전,2.9
1992,0716,대전,0.1
1992,0717,대전,81.8
1992,0722,대전,2.6
1992,0723,대전,0.2
1992,0730,대전,9.7
1992,0802,대전,0.2
1992,0807,대전,5.2
1992,0811,대전,1.1
1992,0812,대전,78.8
1992,0814,대전,36
1992,0815,대전,16.5
