
강수일수
지점/지역명 : 서울

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1991,6.0,10.0,9.0,7.0,7.0,9.0,19.0,6.0,8.0,5.0,5.0,8.0,99.0,26
1992,8.0,9.0,6.0,10.0,8.0,7.0,15.0,14.0,10.0,10.0,8.0,10.0,115.0,6
1993,4.0,8.0,7.0,8.0,8.0,13.0,16.0,17.0,8.0,3.0,11.0,6.0,109.0,12
1994,8.0,4.0,5.0,3.0,12.0,6.0,10.0,11.0,10.0,11.0,9.0,9.0,98.0,28
1995,7.0,4.0,10.0,9.0,5.0,10.0,18.0,19.0,12.0,5.0,7.0,5.0,111.0,8
1996,7.0,3.0,10.0,6.0,8.0,13.0,16.0,13.0,5.0,4.0,13.0,4.0,102.0,23
1997,8.0,4.0,6.0,8.0,16.0,8.0,12.0,9.0,8.0,8.0,9.0,6.0,102.0,22
1998,9.0,8.0,4.0,11.0,9.0,12.0,17.0,21.0,10.0,6.0,9.0,3.0,119.0,5
1999,6.0,3.0,5.0,7.0,9.0,8.0,14.0,13.0,11.0,8.0,7.0,6.0,97.0,29
2000,10.0,3.0,6.0,9.0,8.0,9.0,10.0,16.0,12.0,7.0,5.0,10.0,105.0,18
2001,8.0,8.0,5.0,4.0,7.0,13.0,14.0,10.0,4.0,6.0,6.0,6.0,91.0,30
2002,9.0,2.0,6.0,7.0,9.0,8.0,14.0,20.0,10.0,11.0,4.0,7.0,107.0,15
2003,6.0,9.0,10.0,11.0,5.0,12.0,20.0,20.0,10.0,7.0,12.0,6.0,128.0,4
2004,5.0,6.0,5.0,7.0,13.0,7.0,19.0,10.0,12.0,2.0,10.0,4.0,100.0,25
2005,4.0,4.0,6.0,8.0,8.0,10.0,13.0,18.0,11.0,6.0,8.0,9.0,105.0,17
2006,4.0,7.0,6.0,9.0,8.0,12.0,25.0,10.0,6.0,4.0,10.0,7.0,108.0,14
2007,5.0,3.0,14.0,9.0,9.0,12.0,15.0,19.0,20.0,7.0,8.0,11.0,132.0,2
2008,3.0,3.0,10.0,12.0,8.0,11.0,19.0,13.0,7.0,5.0,6.0,13.0,110.0,10
2009,3.0,7.0,8.0,7.0,9.0,11.0,20.0,14.0,6.0,8.0,10.0,10.0,113.0,7
2010,8.0,8.0,12.0,11.0,12.0,10.0,17.0,24.0,13.0,5.0,7.0,9.0,136.0,1
2011,5.0,3.0,4.0,9.0,9.0,14.0,21.0,17.0,4.0,5.0,11.0,6.0,108.0,13
2012,6.0,4.0,8.0,8.0,7.0,4.0,17.0,16.0,11.0,6.0,13.0,10.0,110.0,9
2013,7.0,8.0,8.0,15.0,10.0,9.0,25.0,12.0,9.0,4.0,12.0,9.0,128.0,3
2014,5.0,5.0,6.0,5.0,9.0,11.0,12.0,16.0,7.0,6.0,9.0,10.0,101.0,24
2015,7.0,7.0,4.0,11.0,6.0,11.0,14.0,10.0,4.0,7.0,14.0,9.0,104.0,20
2016,4.0,8.0,5.0,10.0,9.0,8.0,17.0,11.0,7.0,9.0,11.0,10.0,109.0,11
2017,8.0,5.0,5.0,9.0,5.0,7.0,20.0,14.0,5.0,6.0,8.0,10.0,102.0,21
2018,7.0,4.0,9.0,11.0,11.0,10.0,9.0,15.0,11.0,6.0,6.0,5.0,104.0,19
2019,0.0,6.0,5.0,9.0,3.0,10.0,16.0,13.0,10.0,6.0,7.0,13.0,98.0,27
2020,6.0,10.0,5.0,3.0,12.0,11.0,16.0,19.0,11.0,0.0,9.0,4.0,106.0,16
평균,6.1,5.8,7.0,8.4,8.6,9.9,16.3,14.7,9.1,6.1,8.8,7.8


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
1991,23.0,34.0,18.0,25.0
1992,24.0,36.0,28.0,22.0
1993,23.0,46.0,22.0,18.0
1994,20.0,27.0,30.0,20.0
1995,24.0,47.0,24.0,15.0
1996,24.0,42.0,22.0,16.0
1997,30.0,29.0,25.0,23.0
1998,24.0,50.0,25.0,12.0
1999,21.0,35.0,26.0,19.0
2000,23.0,35.0,24.0,26.0
2001,16.0,37.0,16.0,17.0
2002,22.0,42.0,25.0,22.0
2003,26.0,52.0,29.0,17.0
2004,25.0,36.0,24.0,12.0
2005,22.0,41.0,25.0,20.0
2006,23.0,47.0,20.0,15.0
2007,32.0,46.0,35.0,17.0
2008,30.0,43.0,18.0,23.0
2009,24.0,45.0,24.0,26.0
2010,35.0,51.0,25.0,17.0
2011,22.0,52.0,20.0,16.0
2012,23.0,37.0,30.0,25.0
2013,33.0,46.0,25.0,19.0
2014,20.0,39.0,22.0,24.0
2015,21.0,35.0,25.0,21.0
2016,24.0,36.0,27.0,23.0
2017,19.0,41.0,19.0,21.0
2018,31.0,34.0,23.0,11.0
2019,17.0,39.0,23.0,29.0
2020,20.0,46.0,20.0,18.0
평균	,24.0,40.9,24.0,19.6


강수일수 관측값
연도,날짜,지점,관측값
1991,0101,서울,0.5
1991,0103,서울,1.7
1991,0107,서울,0.4
1991,0116,서울,1.3
1991,0122,서울,1.6
1991,0124,서울,8.9
1991,0204,서울,1.5
1991,0207,서울,4.3
1991,0210,서울,1.6
1991,0211,서울,0.1
1991,0215,서울,12.9
1991,0220,서울,2.3
1991,0221,서울,0.9
1991,0222,서울,0.1
1991,0227,서울,2.5
1991,0228,서울,2.2
1991,0308,서울,37.4
1991,0309,서울,1
1991,0310,서울,6.5
1991,0311,서울,0.5
1991,0316,서울,1.9
1991,0320,서울,0.7
1991,0326,서울,6.8
1991,0327,서울,9.6
1991,0331,서울,1.1
1991,0412,서울,12.1
1991,0413,서울,5.5
1991,0417,서울,14.2
1991,0418,서울,13.4
1991,0428,서울,0.1
1991,0429,서울,1.7
1991,0430,서울,1.5
1991,0506,서울,7.9
1991,0507,서울,2.6
1991,0508,서울,2.1
1991,0516,서울,0.1
1991,0524,서울,4
1991,0525,서울,26.6
1991,0526,서울,39.9
1991,0602,서울,2.7
1991,0603,서울,0.6
1991,0609,서울,7.3
1991,0611,서울,26.6
1991,0612,서울,2.4
1991,0620,서울,0.7
1991,0623,서울,7
1991,0626,서울,0.3
1991,0629,서울,34.2
1991,0701,서울,17.7
1991,0704,서울,1.7
1991,0707,서울,44
1991,0709,서울,0.2
1991,0715,서울,42.2
1991,0716,서울,12.7
1991,0717,서울,1.7
1991,0718,서울,1
1991,0719,서울,66.7
1991,0720,서울,49
1991,0721,서울,39.8
1991,0722,서울,3.3
1991,0723,서울,30.7
1991,0724,서울,17.7
1991,0725,서울,140.2
1991,0728,서울,5.9
1991,0729,서울,1.3
1991,0730,서울,11.5
1991,0731,서울,0.5
1991,0801,서울,0.4
1991,0802,서울,43.7
1991,0804,서울,1.1
1991,0806,서울,7.9
1991,0823,서울,14.3
1991,0824,서울,0.8
1991,0903,서울,5.4
1991,0904,서울,51.8
1991,0905,서울,38.7
1991,0906,서울,32.2
1991,0920,서울,5.2
1991,0921,서울,1.3
1991,0926,서울,11.6
1991,0927,서울,29
1991,1004,서울,1
1991,1016,서울,13.8
1991,1017,서울,3.2
1991,1024,서울,5.7
1991,1025,서울,3.6
1991,1107,서울,16.3
1991,1109,서울,6.8
1991,1116,서울,0.5
1991,1119,서울,11.2
1991,1123,서울,0.2
1991,1202,서울,0.2
1991,1210,서울,4.4
1991,1217,서울,12
1991,1223,서울,0.7
1991,1225,서울,10.1
1991,1226,서울,3.2
1991,1227,서울,8.8
1991,1228,서울,3.5
1992,0106,서울,3.9
1992,0107,서울,2.2
1992,0113,서울,1.8
1992,0116,서울,3.9
1992,0121,서울,0.3
1992,0122,서울,0.1
1992,0125,서울,0.3
1992,0131,서울,1.1
1992,0202,서울,0.7
1992,0203,서울,2.6
1992,0206,서울,3.1
1992,0215,서울,6
1992,0218,서울,1.3
1992,0221,서울,0.1
1992,0223,서울,6.5
1992,0228,서울,3.8
1992,0229,서울,22.5
1992,0301,서울,0.7
1992,0305,서울,3.6
1992,0317,서울,1.8
1992,0318,서울,0.5
1992,0323,서울,4.5
1992,0324,서울,0.1
1992,0408,서울,0.4
1992,0409,서울,0.2
1992,0410,서울,20.2
1992,0411,서울,5.2
1992,0415,서울,8.6
1992,0418,서울,23.3
1992,0421,서울,11.5
1992,0428,서울,2.1
1992,0429,서울,0.5
1992,0430,서울,4.5
1992,0506,서울,34.6
1992,0507,서울,95.4
1992,0508,서울,0.4
1992,0513,서울,20.5
1992,0516,서울,2
1992,0525,서울,0.1
1992,0526,서울,1.5
1992,0529,서울,1
1992,0604,서울,56
1992,0607,서울,4.8
1992,0608,서울,7.2
1992,0609,서울,19.7
1992,0610,서울,8.8
1992,0617,서울,1.4
1992,0618,서울,1.7
1992,0702,서울,6.5
1992,0703,서울,18.4
1992,0704,서울,2.1
1992,0710,서울,58.5
1992,0711,서울,13.4
1992,0714,서울,14.1
1992,0715,서울,60.3
1992,0717,서울,38.2
1992,0718,서울,2
1992,0720,서울,2
1992,0721,서울,0.3
1992,0722,서울,10.8
1992,0727,서울,33.6
1992,0728,서울,1.4
1992,0730,서울,8.5
1992,0802,서울,28.1
1992,0805,서울,0.8
1992,0806,서울,1.3
1992,0807,서울,130.3
1992,0811,서울,0.1
1992,0812,서울,7.6
1992,0814,서울,16
1992,0815,서울,5.5
1992,0817,서울,36.6
1992,0824,서울,4.4
1992,0825,서울,26.8
1992,0826,서울,2.2
1992,0827,서울,153.3
1992,0828,서울,5.8
1992,0901,서울,8.3
1992,0902,서울,20.3
1992,0903,서울,0.1
1992,0907,서울,4.3
1992,0912,서울,0.5
1992,0913,서울,4
1992,0920,서울,0.3
1992,0924,서울,87
1992,0928,서울,0.1
1992,0929,서울,43.6
1992,1003,서울,3.5
1992,1004,서울,1.4
1992,1005,서울,0.2
1992,1007,서울,0.3
1992,1017,서울,9
1992,1018,서울,0.6
1992,1023,서울,6.2
1992,1024,서울,0.5
1992,1029,서울,9.9
