
강수일수
지점/지역명 : 수원

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1991,7.0,13.0,8.0,6.0,7.0,7.0,18.0,9.0,8.0,5.0,6.0,11.0,105.0,18
1992,7.0,9.0,6.0,11.0,11.0,9.0,13.0,14.0,10.0,9.0,8.0,13.0,120.0,4
1993,1.0,8.0,8.0,10.0,9.0,12.0,15.0,17.0,7.0,5.0,13.0,6.0,111.0,9
1994,4.0,4.0,6.0,2.0,10.0,7.0,8.0,12.0,7.0,11.0,7.0,8.0,86.0,30
1995,8.0,3.0,10.0,6.0,6.0,6.0,16.0,17.0,8.0,7.0,7.0,4.0,98.0,25
1996,7.0,4.0,10.0,6.0,8.0,15.0,15.0,9.0,5.0,6.0,13.0,5.0,103.0,21
1997,9.0,5.0,5.0,6.0,16.0,9.0,11.0,14.0,7.0,6.0,9.0,6.0,103.0,20
1998,12.0,10.0,3.0,12.0,9.0,10.0,17.0,19.0,8.0,5.0,9.0,3.0,117.0,5
1999,5.0,2.0,6.0,7.0,7.0,7.0,15.0,15.0,11.0,7.0,9.0,8.0,99.0,24
2000,12.0,6.0,5.0,8.0,9.0,10.0,11.0,20.0,10.0,7.0,6.0,9.0,113.0,8
2001,10.0,8.0,7.0,5.0,7.0,11.0,14.0,8.0,1.0,7.0,6.0,8.0,92.0,28
2002,10.0,4.0,7.0,7.0,10.0,6.0,13.0,22.0,6.0,10.0,6.0,9.0,110.0,11
2003,5.0,8.0,9.0,10.0,5.0,11.0,20.0,19.0,9.0,7.0,14.0,6.0,123.0,3
2004,6.0,9.0,6.0,8.0,14.0,8.0,18.0,8.0,13.0,2.0,9.0,6.0,107.0,17
2005,5.0,4.0,6.0,8.0,7.0,10.0,13.0,17.0,12.0,6.0,8.0,7.0,103.0,19
2006,6.0,6.0,6.0,10.0,7.0,14.0,24.0,9.0,5.0,2.0,10.0,8.0,107.0,16
2007,7.0,3.0,14.0,8.0,12.0,12.0,16.0,19.0,22.0,7.0,6.0,12.0,138.0,1
2008,4.0,3.0,8.0,11.0,8.0,12.0,16.0,14.0,9.0,6.0,6.0,11.0,108.0,14
2009,5.0,3.0,7.0,5.0,9.0,9.0,13.0,8.0,6.0,4.0,8.0,10.0,87.0,29
2010,9.0,11.0,14.0,11.0,8.0,10.0,12.0,23.0,14.0,4.0,6.0,8.0,130.0,2
2011,6.0,3.0,4.0,9.0,8.0,13.0,19.0,16.0,7.0,7.0,8.0,8.0,108.0,13
2012,7.0,4.0,8.0,8.0,5.0,3.0,16.0,17.0,13.0,6.0,13.0,10.0,110.0,10
2013,7.0,8.0,8.0,10.0,7.0,9.0,25.0,9.0,9.0,3.0,12.0,8.0,115.0,7
2014,4.0,4.0,5.0,8.0,9.0,7.0,12.0,16.0,5.0,5.0,9.0,13.0,97.0,27
2015,8.0,7.0,5.0,12.0,6.0,9.0,14.0,9.0,5.0,7.0,17.0,8.0,107.0,15
2016,5.0,11.0,2.0,9.0,8.0,8.0,16.0,5.0,4.0,9.0,14.0,10.0,101.0,23
2017,9.0,7.0,4.0,7.0,7.0,8.0,21.0,15.0,4.0,5.0,12.0,10.0,109.0,12
2018,8.0,6.0,9.0,9.0,11.0,10.0,9.0,11.0,11.0,9.0,4.0,5.0,102.0,22
2019,2.0,4.0,7.0,9.0,3.0,12.0,13.0,10.0,11.0,6.0,7.0,13.0,97.0,26
2020,6.0,10.0,6.0,3.0,16.0,13.0,19.0,19.0,10.0,2.0,7.0,5.0,116.0,6
평균,6.7,6.2,7.0,8.0,8.6,9.6,15.4,14.0,8.6,6.1,9.0,8.3


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
1991,21.0,34.0,19.0,27.0
1992,28.0,36.0,27.0,22.0
1993,27.0,44.0,25.0,14.0
1994,18.0,27.0,25.0,19.0
1995,22.0,39.0,22.0,15.0
1996,24.0,39.0,24.0,19.0
1997,27.0,34.0,22.0,28.0
1998,24.0,46.0,22.0,10.0
1999,20.0,37.0,27.0,26.0
2000,22.0,41.0,23.0,27.0
2001,19.0,33.0,14.0,22.0
2002,24.0,41.0,22.0,22.0
2003,24.0,50.0,30.0,21.0
2004,28.0,34.0,24.0,15.0
2005,21.0,40.0,26.0,19.0
2006,23.0,47.0,17.0,18.0
2007,34.0,47.0,35.0,19.0
2008,27.0,42.0,21.0,19.0
2009,21.0,30.0,18.0,30.0
2010,33.0,45.0,24.0,17.0
2011,21.0,48.0,22.0,19.0
2012,21.0,36.0,32.0,25.0
2013,25.0,43.0,24.0,16.0
2014,22.0,35.0,19.0,28.0
2015,23.0,32.0,29.0,24.0
2016,19.0,29.0,27.0,26.0
2017,18.0,44.0,21.0,24.0
2018,29.0,30.0,24.0,11.0
2019,19.0,35.0,24.0,29.0
2020,25.0,51.0,19.0,18.0
평균	,23.6,39.0,23.6,21.0


강수일수 관측값
연도,날짜,지점,관측값
1991,0101,수원,0.5
1991,0103,수원,0.8
1991,0107,수원,2.4
1991,0115,수원,0.7
1991,0116,수원,2.4
1991,0122,수원,2.3
1991,0124,수원,8.1
1991,0204,수원,4.8
1991,0207,수원,3.1
1991,0209,수원,0.4
1991,0210,수원,4.5
1991,0211,수원,2.6
1991,0214,수원,0.4
1991,0215,수원,12.7
1991,0218,수원,0.1
1991,0220,수원,5
1991,0221,수원,2.2
1991,0222,수원,0.1
1991,0227,수원,4.6
1991,0228,수원,1.6
1991,0308,수원,19.5
1991,0309,수원,1.3
1991,0310,수원,11.3
1991,0311,수원,1.9
1991,0316,수원,1.3
1991,0320,수원,1.7
1991,0326,수원,7.8
1991,0327,수원,6.9
1991,0412,수원,12.6
1991,0413,수원,5.9
1991,0417,수원,19.6
1991,0418,수원,10.9
1991,0429,수원,1.4
1991,0430,수원,2.2
1991,0506,수원,5
1991,0507,수원,4
1991,0508,수원,3.2
1991,0510,수원,0.9
1991,0524,수원,14.6
1991,0525,수원,59.4
1991,0526,수원,35.9
1991,0601,수원,3.3
1991,0603,수원,0.2
1991,0609,수원,8.1
1991,0611,수원,22.4
1991,0612,수원,0.1
1991,0626,수원,6.2
1991,0629,수원,49.5
1991,0701,수원,2.8
1991,0707,수원,51.3
1991,0709,수원,0.8
1991,0711,수원,0.4
1991,0715,수원,30.5
1991,0716,수원,0.7
1991,0717,수원,34.7
1991,0718,수원,7.2
1991,0719,수원,4.3
1991,0720,수원,58.8
1991,0721,수원,218.2
1991,0722,수원,3.7
1991,0723,수원,42.4
1991,0724,수원,19.7
1991,0725,수원,82.3
1991,0729,수원,0.4
1991,0730,수원,6.9
1991,0731,수원,2.5
1991,0801,수원,0.7
1991,0802,수원,48.2
1991,0804,수원,2.6
1991,0805,수원,13.2
1991,0806,수원,0.4
1991,0822,수원,0.9
1991,0823,수원,8.2
1991,0824,수원,8.1
1991,0830,수원,0.1
1991,0903,수원,8.9
1991,0904,수원,65.2
1991,0905,수원,33.8
1991,0906,수원,3
1991,0920,수원,16
1991,0921,수원,5.3
1991,0926,수원,16.4
1991,0927,수원,36.6
1991,1004,수원,0.9
1991,1016,수원,12.6
1991,1017,수원,4.1
1991,1024,수원,5.2
1991,1025,수원,8
1991,1107,수원,12.2
1991,1109,수원,2.5
1991,1110,수원,0.2
1991,1119,수원,7.7
1991,1122,수원,1.5
1991,1123,수원,1.1
1991,1203,수원,0.9
1991,1208,수원,1.8
1991,1210,수원,4.8
1991,1211,수원,3.5
1991,1217,수원,11.1
1991,1223,수원,0.8
1991,1224,수원,0.1
1991,1225,수원,10.9
1991,1226,수원,4.7
1991,1227,수원,10.3
1991,1228,수원,3.9
1992,0106,수원,5.5
1992,0107,수원,3.2
1992,0113,수원,0.5
1992,0114,수원,0.1
1992,0116,수원,3.7
1992,0122,수원,0.3
1992,0131,수원,0.9
1992,0202,수원,0.6
1992,0203,수원,6
1992,0206,수원,2.2
1992,0212,수원,0.1
1992,0215,수원,2.3
1992,0218,수원,0.8
1992,0223,수원,0.2
1992,0228,수원,2.6
1992,0229,수원,10.7
1992,0301,수원,0.6
1992,0305,수원,4
1992,0312,수원,1
1992,0317,수원,0.8
1992,0318,수원,1.7
1992,0323,수원,3.5
1992,0408,수원,1.9
1992,0409,수원,5
1992,0410,수원,23.4
1992,0411,수원,5.6
1992,0415,수원,1.9
1992,0418,수원,19
1992,0421,수원,7.5
1992,0424,수원,0.2
1992,0428,수원,11.4
1992,0429,수원,1.4
1992,0430,수원,1.3
1992,0506,수원,22.7
1992,0507,수원,63.2
1992,0508,수원,1.4
1992,0512,수원,0.4
1992,0513,수원,16.2
1992,0516,수원,3.1
1992,0524,수원,2.6
1992,0525,수원,3.3
1992,0526,수원,6.6
1992,0527,수원,0.2
1992,0529,수원,2.3
1992,0604,수원,27.1
1992,0605,수원,0.2
1992,0607,수원,4.7
1992,0608,수원,4.7
1992,0609,수원,4.3
1992,0610,수원,9.3
1992,0617,수원,0.5
1992,0618,수원,0.3
1992,0619,수원,0.2
1992,0702,수원,0.2
1992,0703,수원,2.3
1992,0710,수원,57.3
1992,0711,수원,11.2
1992,0713,수원,7.7
1992,0717,수원,36.3
1992,0718,수원,13.4
1992,0720,수원,1.3
1992,0721,수원,0.2
1992,0722,수원,6.5
1992,0727,수원,9.9
1992,0728,수원,0.9
1992,0730,수원,22
1992,0806,수원,1.2
1992,0807,수원,69.3
1992,0808,수원,7.1
1992,0811,수원,3
1992,0812,수원,10.2
1992,0814,수원,24.3
1992,0815,수원,3.4
1992,0816,수원,0.3
1992,0817,수원,17.2
1992,0824,수원,3
1992,0825,수원,8.5
1992,0826,수원,17.7
1992,0827,수원,169
1992,0828,수원,0.2
1992,0901,수원,4.4
1992,0902,수원,40.4
1992,0903,수원,5.8
1992,0904,수원,0.4
1992,0907,수원,13.2
1992,0912,수원,0.8
1992,0913,수원,6.3
1992,0924,수원,74.8
1992,0928,수원,0.1
