
강수일수
지점/지역명 : 안동

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1991,7.0,10.0,8.0,7.0,9.0,9.0,23.0,13.0,5.0,3.0,5.0,8.0,107.0,9
1992,5.0,6.0,8.0,11.0,11.0,6.0,13.0,17.0,12.0,7.0,4.0,10.0,110.0,6
1993,7.0,6.0,5.0,7.0,9.0,9.0,14.0,16.0,2.0,5.0,10.0,5.0,95.0,20
1994,5.0,5.0,6.0,6.0,8.0,7.0,4.0,9.0,4.0,6.0,5.0,6.0,71.0,30
1995,4.0,3.0,8.0,5.0,7.0,10.0,14.0,13.0,6.0,4.0,5.0,4.0,83.0,26
1996,7.0,2.0,9.0,5.0,8.0,19.0,9.0,10.0,5.0,7.0,12.0,5.0,98.0,16
1997,3.0,5.0,5.0,7.0,13.0,11.0,13.0,9.0,7.0,2.0,8.0,5.0,88.0,23
1998,10.0,8.0,5.0,13.0,9.0,16.0,19.0,16.0,9.0,6.0,6.0,2.0,119.0,2
1999,2.0,3.0,8.0,10.0,10.0,8.0,13.0,15.0,14.0,8.0,4.0,3.0,98.0,15
2000,8.0,0.0,6.0,8.0,9.0,13.0,10.0,16.0,15.0,3.0,7.0,4.0,99.0,14
2001,6.0,6.0,3.0,4.0,5.0,9.0,10.0,9.0,6.0,9.0,3.0,4.0,74.0,29
2002,8.0,2.0,7.0,5.0,12.0,7.0,15.0,18.0,10.0,9.0,2.0,9.0,104.0,12
2003,5.0,6.0,9.0,12.0,11.0,10.0,20.0,17.0,11.0,4.0,10.0,4.0,119.0,1
2004,5.0,8.0,7.0,8.0,16.0,11.0,11.0,13.0,15.0,2.0,5.0,5.0,106.0,10
2005,4.0,5.0,7.0,6.0,7.0,13.0,11.0,17.0,13.0,7.0,3.0,3.0,96.0,17
2006,4.0,9.0,4.0,9.0,9.0,13.0,23.0,8.0,6.0,4.0,13.0,5.0,107.0,8
2007,2.0,4.0,12.0,7.0,10.0,9.0,17.0,21.0,14.0,8.0,4.0,7.0,115.0,3
2008,5.0,2.0,8.0,7.0,9.0,7.0,15.0,12.0,7.0,8.0,3.0,3.0,86.0,25
2009,3.0,5.0,9.0,7.0,10.0,11.0,18.0,7.0,8.0,6.0,6.0,5.0,95.0,19
2010,4.0,9.0,12.0,8.0,10.0,7.0,12.0,19.0,13.0,8.0,3.0,7.0,112.0,4
2011,1.0,6.0,5.0,7.0,9.0,9.0,16.0,16.0,8.0,7.0,7.0,4.0,95.0,18
2012,3.0,2.0,12.0,11.0,8.0,10.0,13.0,17.0,11.0,4.0,8.0,9.0,108.0,7
2013,5.0,6.0,8.0,10.0,7.0,10.0,16.0,11.0,12.0,6.0,8.0,6.0,105.0,11
2014,2.0,5.0,8.0,7.0,6.0,11.0,15.0,20.0,6.0,6.0,8.0,8.0,102.0,13
2015,11.0,4.0,5.0,14.0,5.0,9.0,13.0,13.0,6.0,5.0,14.0,11.0,110.0,5
2016,3.0,5.0,4.0,12.0,6.0,8.0,14.0,7.0,12.0,7.0,5.0,8.0,91.0,22
2017,5.0,5.0,6.0,8.0,5.0,7.0,18.0,17.0,4.0,7.0,1.0,4.0,87.0,24
2018,5.0,2.0,10.0,8.0,11.0,4.0,7.0,12.0,9.0,5.0,3.0,5.0,81.0,27
2019,2.0,2.0,8.0,7.0,4.0,7.0,10.0,10.0,10.0,5.0,9.0,4.0,78.0,28
2020,5.0,6.0,3.0,5.0,8.0,9.0,19.0,19.0,10.0,2.0,6.0,2.0,94.0,21
평균,4.9,4.9,7.2,8.0,8.7,9.6,14.2,13.9,9.0,5.7,6.2,5.5


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
1991,24.0,45.0,13.0,19.0
1992,30.0,36.0,23.0,23.0
1993,21.0,39.0,17.0,15.0
1994,20.0,20.0,15.0,13.0
1995,20.0,37.0,15.0,13.0
1996,22.0,38.0,24.0,13.0
1997,25.0,33.0,17.0,23.0
1998,27.0,51.0,21.0,7.0
1999,28.0,36.0,26.0,11.0
2000,23.0,39.0,25.0,16.0
2001,12.0,28.0,18.0,14.0
2002,24.0,40.0,21.0,20.0
2003,32.0,47.0,25.0,17.0
2004,31.0,35.0,22.0,14.0
2005,20.0,41.0,23.0,16.0
2006,22.0,44.0,23.0,11.0
2007,29.0,47.0,26.0,14.0
2008,24.0,34.0,18.0,11.0
2009,26.0,36.0,20.0,18.0
2010,30.0,38.0,24.0,14.0
2011,21.0,41.0,22.0,9.0
2012,31.0,40.0,23.0,20.0
2013,25.0,37.0,26.0,13.0
2014,21.0,46.0,20.0,23.0
2015,24.0,35.0,25.0,19.0
2016,22.0,29.0,24.0,18.0
2017,19.0,42.0,12.0,11.0
2018,29.0,23.0,17.0,9.0
2019,19.0,27.0,24.0,15.0
2020,16.0,47.0,18.0,11.0
평균	,23.9,37.7,20.9,15.0


강수일수 관측값
연도,날짜,지점,관측값
1991,0101,안동,0.3
1991,0103,안동,0.1
1991,0107,안동,3.6
1991,0115,안동,0.3
1991,0121,안동,6.2
1991,0122,안동,2.6
1991,0124,안동,5.3
1991,0204,안동,0.2
1991,0207,안동,1.6
1991,0209,안동,6.1
1991,0210,안동,16
1991,0214,안동,3.9
1991,0215,안동,14
1991,0220,안동,0.6
1991,0221,안동,0.7
1991,0222,안동,1.6
1991,0227,안동,2.5
1991,0308,안동,15.4
1991,0309,안동,1.5
1991,0310,안동,17.1
1991,0311,안동,8.5
1991,0316,안동,0.1
1991,0322,안동,2.9
1991,0326,안동,5.5
1991,0327,안동,9.6
1991,0411,안동,0.1
1991,0412,안동,1.2
1991,0413,안동,4.3
1991,0417,안동,43.7
1991,0418,안동,27.2
1991,0429,안동,10
1991,0430,안동,0.2
1991,0501,안동,1.1
1991,0506,안동,1.4
1991,0507,안동,0.4
1991,0508,안동,1.7
1991,0515,안동,1.8
1991,0516,안동,4.5
1991,0524,안동,13.4
1991,0525,안동,12.4
1991,0526,안동,21.4
1991,0601,안동,0.4
1991,0602,안동,1
1991,0603,안동,10.4
1991,0609,안동,48.2
1991,0611,안동,18.5
1991,0612,안동,4.5
1991,0626,안동,0.2
1991,0628,안동,0.3
1991,0629,안동,0.9
1991,0701,안동,14.8
1991,0704,안동,1.7
1991,0705,안동,0.2
1991,0707,안동,38.7
1991,0708,안동,2.6
1991,0709,안동,7.4
1991,0710,안동,20.7
1991,0711,안동,12
1991,0712,안동,31.9
1991,0714,안동,0.2
1991,0715,안동,28.2
1991,0716,안동,0.5
1991,0717,안동,29
1991,0718,안동,22.7
1991,0719,안동,3.8
1991,0720,안동,23.8
1991,0721,안동,8.4
1991,0723,안동,8.7
1991,0724,안동,1.1
1991,0725,안동,22.7
1991,0729,안동,6.4
1991,0730,안동,0.3
1991,0731,안동,1.5
1991,0801,안동,12.4
1991,0802,안동,5.3
1991,0804,안동,0.1
1991,0805,안동,5.7
1991,0806,안동,20.6
1991,0809,안동,23.7
1991,0810,안동,44.9
1991,0822,안동,22.3
1991,0823,안동,38.9
1991,0824,안동,0.8
1991,0826,안동,1
1991,0829,안동,15.3
1991,0831,안동,0.7
1991,0904,안동,7.1
1991,0905,안동,25.5
1991,0906,안동,13.7
1991,0926,안동,21
1991,0927,안동,100.5
1991,1016,안동,1.8
1991,1017,안동,1
1991,1022,안동,0.3
1991,1107,안동,0.8
1991,1108,안동,0.1
1991,1110,안동,0.1
1991,1119,안동,2
1991,1123,안동,0.3
1991,1208,안동,2.4
1991,1210,안동,1.4
1991,1211,안동,0.6
1991,1217,안동,3.9
1991,1224,안동,1.1
1991,1225,안동,14.3
1991,1226,안동,1.6
1991,1227,안동,8.5
1992,0106,안동,5
1992,0107,안동,0.3
1992,0113,안동,0.1
1992,0116,안동,0.2
1992,0131,안동,4
1992,0202,안동,0.1
1992,0203,안동,3.1
1992,0213,안동,0.1
1992,0215,안동,0.1
1992,0223,안동,0.1
1992,0229,안동,0.2
1992,0301,안동,0.7
1992,0304,안동,0.5
1992,0305,안동,10.8
1992,0317,안동,1.1
1992,0318,안동,2.4
1992,0320,안동,4.5
1992,0321,안동,3.6
1992,0323,안동,9.1
1992,0401,안동,0.9
1992,0408,안동,4.5
1992,0409,안동,22.9
1992,0410,안동,18.1
1992,0411,안동,7.8
1992,0415,안동,2.4
1992,0418,안동,3.2
1992,0421,안동,17.6
1992,0422,안동,0.3
1992,0429,안동,2
1992,0430,안동,9.4
1992,0501,안동,0.1
1992,0506,안동,1
1992,0507,안동,5.8
1992,0508,안동,6.5
1992,0513,안동,10.4
1992,0516,안동,2.8
1992,0523,안동,1.2
1992,0524,안동,4.9
1992,0525,안동,0.4
1992,0526,안동,3.2
1992,0529,안동,1.5
1992,0604,안동,0.5
1992,0607,안동,6
1992,0610,안동,0.9
1992,0613,안동,0.6
1992,0618,안동,31
1992,0619,안동,2.3
1992,0702,안동,5.6
1992,0703,안동,30.4
1992,0705,안동,1.5
1992,0710,안동,74
1992,0711,안동,0.5
1992,0712,안동,19.6
1992,0713,안동,7.6
1992,0714,안동,3.3
1992,0715,안동,31.4
1992,0716,안동,0.2
1992,0717,안동,74.7
1992,0722,안동,0.1
1992,0731,안동,5.2
1992,0802,안동,0.2
1992,0805,안동,2
1992,0806,안동,4.6
1992,0808,안동,5.7
1992,0809,안동,0.1
1992,0811,안동,3.9
1992,0812,안동,20.4
1992,0814,안동,14.4
1992,0815,안동,1.7
1992,0816,안동,4
1992,0818,안동,0.2
1992,0822,안동,0.1
1992,0823,안동,3.5
1992,0824,안동,11.6
1992,0825,안동,57.4
1992,0826,안동,3.2
1992,0827,안동,0.8
1992,0901,안동,0.4
1992,0902,안동,2.2
1992,0903,안동,20.6
1992,0907,안동,3.3
1992,0908,안동,6.4
1992,0909,안동,3.1
1992,0912,안동,0.2
1992,0913,안동,9.2
1992,0923,안동,1.1
1992,0924,안동,49
1992,0925,안동,5.2
