
강수일수
지점/지역명 : 울산

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1991,6.0,9.0,10.0,8.0,8.0,8.0,22.0,11.0,12.0,2.0,4.0,12.0,112.0,6
1992,5.0,5.0,11.0,11.0,10.0,5.0,8.0,12.0,10.0,6.0,3.0,9.0,95.0,22
1993,10.0,4.0,8.0,3.0,10.0,11.0,16.0,21.0,7.0,3.0,10.0,3.0,106.0,12
1994,5.0,4.0,6.0,10.0,9.0,8.0,2.0,8.0,6.0,6.0,5.0,4.0,73.0,30
1995,6.0,4.0,12.0,7.0,11.0,12.0,13.0,12.0,8.0,5.0,2.0,1.0,93.0,23
1996,4.0,3.0,12.0,5.0,10.0,11.0,12.0,9.0,4.0,5.0,10.0,4.0,89.0,26
1997,4.0,2.0,8.0,10.0,14.0,10.0,13.0,11.0,6.0,2.0,9.0,8.0,97.0,21
1998,9.0,9.0,5.0,13.0,10.0,14.0,16.0,15.0,10.0,8.0,4.0,1.0,114.0,4
1999,3.0,2.0,11.0,9.0,10.0,13.0,15.0,19.0,12.0,8.0,4.0,0.0,106.0,11
2000,11.0,1.0,6.0,9.0,10.0,10.0,10.0,11.0,13.0,8.0,6.0,2.0,97.0,20
2001,7.0,7.0,5.0,4.0,8.0,10.0,10.0,10.0,12.0,7.0,4.0,6.0,90.0,25
2002,5.0,3.0,4.0,6.0,12.0,8.0,13.0,15.0,7.0,8.0,1.0,8.0,90.0,24
2003,6.0,7.0,9.0,12.0,11.0,6.0,21.0,17.0,12.0,3.0,9.0,2.0,115.0,2
2004,2.0,6.0,6.0,8.0,14.0,11.0,12.0,13.0,16.0,6.0,7.0,3.0,104.0,14
2005,6.0,10.0,10.0,7.0,6.0,10.0,15.0,14.0,15.0,5.0,3.0,2.0,103.0,15
2006,7.0,10.0,3.0,10.0,13.0,11.0,19.0,10.0,11.0,4.0,7.0,4.0,109.0,8
2007,1.0,8.0,10.0,6.0,11.0,13.0,16.0,15.0,15.0,10.0,1.0,8.0,114.0,3
2008,9.0,2.0,8.0,8.0,8.0,12.0,11.0,12.0,10.0,3.0,4.0,1.0,88.0,28
2009,5.0,8.0,6.0,7.0,7.0,8.0,21.0,15.0,8.0,5.0,8.0,3.0,101.0,17
2010,4.0,8.0,15.0,12.0,10.0,11.0,13.0,8.0,9.0,5.0,1.0,3.0,99.0,19
2011,1.0,10.0,2.0,9.0,11.0,10.0,17.0,16.0,8.0,6.0,12.0,3.0,105.0,13
2012,7.0,6.0,13.0,12.0,8.0,9.0,12.0,14.0,10.0,3.0,8.0,9.0,111.0,7
2013,3.0,7.0,6.0,8.0,7.0,8.0,8.0,10.0,8.0,10.0,8.0,5.0,88.0,27
2014,2.0,15.0,9.0,9.0,9.0,14.0,12.0,20.0,7.0,8.0,7.0,6.0,118.0,1
2015,9.0,4.0,4.0,16.0,8.0,7.0,13.0,10.0,11.0,4.0,17.0,9.0,112.0,5
2016,5.0,3.0,8.0,11.0,6.0,12.0,13.0,8.0,17.0,10.0,8.0,6.0,107.0,9
2017,4.0,7.0,10.0,9.0,6.0,8.0,14.0,10.0,7.0,7.0,0.0,1.0,83.0,29
2018,7.0,3.0,13.0,7.0,10.0,10.0,11.0,13.0,17.0,6.0,3.0,6.0,106.0,10
2019,3.0,6.0,9.0,10.0,5.0,10.0,11.0,10.0,15.0,9.0,8.0,5.0,101.0,16
2020,10.0,6.0,7.0,8.0,7.0,10.0,18.0,11.0,13.0,3.0,5.0,2.0,100.0,18
평균,5.5,6.0,8.2,8.8,9.3,10.0,13.6,12.7,10.5,5.8,5.9,4.5


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
1991,26.0,41.0,18.0,22.0
1992,32.0,25.0,19.0,23.0
1993,21.0,48.0,20.0,12.0
1994,25.0,18.0,17.0,14.0
1995,30.0,37.0,15.0,8.0
1996,27.0,32.0,19.0,10.0
1997,32.0,34.0,17.0,26.0
1998,28.0,45.0,22.0,6.0
1999,30.0,47.0,24.0,12.0
2000,25.0,31.0,27.0,16.0
2001,17.0,30.0,23.0,14.0
2002,22.0,36.0,16.0,21.0
2003,32.0,44.0,24.0,10.0
2004,28.0,36.0,29.0,19.0
2005,23.0,39.0,23.0,19.0
2006,26.0,40.0,22.0,13.0
2007,27.0,44.0,26.0,19.0
2008,24.0,35.0,17.0,14.0
2009,20.0,44.0,21.0,15.0
2010,37.0,32.0,15.0,14.0
2011,22.0,43.0,26.0,16.0
2012,33.0,35.0,21.0,19.0
2013,21.0,26.0,26.0,22.0
2014,27.0,46.0,22.0,19.0
2015,28.0,30.0,32.0,17.0
2016,25.0,33.0,35.0,17.0
2017,25.0,32.0,14.0,11.0
2018,30.0,34.0,26.0,15.0
2019,24.0,31.0,32.0,21.0
2020,22.0,39.0,21.0,13.0
평균	,26.3,36.2,22.3,15.9


강수일수 관측값
연도,날짜,지점,관측값
1991,0101,울산,0.7
1991,0107,울산,1.8
1991,0120,울산,0.6
1991,0121,울산,25.5
1991,0122,울산,1.6
1991,0124,울산,8
1991,0209,울산,1.8
1991,0210,울산,13
1991,0214,울산,3.4
1991,0215,울산,12.7
1991,0220,울산,0.5
1991,0221,울산,0.3
1991,0222,울산,1.6
1991,0227,울산,2.8
1991,0228,울산,0.5
1991,0307,울산,16.9
1991,0308,울산,17.4
1991,0309,울산,0.1
1991,0310,울산,13.5
1991,0311,울산,21
1991,0320,울산,0.7
1991,0322,울산,26.4
1991,0325,울산,0.7
1991,0326,울산,6.3
1991,0327,울산,5.6
1991,0410,울산,8.9
1991,0411,울산,1.2
1991,0412,울산,0.7
1991,0413,울산,5.8
1991,0417,울산,137.8
1991,0418,울산,9
1991,0424,울산,0.3
1991,0429,울산,0.8
1991,0503,울산,0.4
1991,0506,울산,12.3
1991,0507,울산,4.1
1991,0508,울산,2.4
1991,0510,울산,1
1991,0524,울산,14.5
1991,0525,울산,31.3
1991,0526,울산,18.8
1991,0601,울산,16
1991,0602,울산,32.3
1991,0603,울산,14
1991,0609,울산,85.3
1991,0612,울산,0.1
1991,0613,울산,1.6
1991,0626,울산,18.3
1991,0629,울산,3.4
1991,0701,울산,4.2
1991,0702,울산,0.5
1991,0704,울산,23.7
1991,0705,울산,0.1
1991,0707,울산,90.6
1991,0708,울산,3.5
1991,0709,울산,22.8
1991,0710,울산,15.4
1991,0711,울산,43
1991,0712,울산,32.4
1991,0715,울산,30.1
1991,0716,울산,8
1991,0717,울산,0.6
1991,0718,울산,2.3
1991,0719,울산,0.1
1991,0720,울산,40.3
1991,0721,울산,0.8
1991,0725,울산,4
1991,0728,울산,1.2
1991,0729,울산,62.2
1991,0730,울산,5
1991,0731,울산,58.8
1991,0801,울산,12.5
1991,0803,울산,1.1
1991,0804,울산,1.4
1991,0805,울산,0.4
1991,0809,울산,58.1
1991,0810,울산,8.1
1991,0821,울산,4.6
1991,0822,울산,114.5
1991,0823,울산,417.8
1991,0824,울산,12.7
1991,0829,울산,67.5
1991,0904,울산,3.6
1991,0905,울산,11.4
1991,0906,울산,1.2
1991,0911,울산,8.8
1991,0913,울산,1.6
1991,0914,울산,32
1991,0915,울산,0.7
1991,0918,울산,0.3
1991,0925,울산,5.3
1991,0926,울산,2.8
1991,0927,울산,95.9
1991,0930,울산,5.5
1991,1016,울산,0.3
1991,1031,울산,2.5
1991,1119,울산,3.2
1991,1122,울산,0.6
1991,1123,울산,6.9
1991,1128,울산,1.7
1991,1210,울산,2.4
1991,1211,울산,0.1
1991,1217,울산,1
1991,1219,울산,3.8
1991,1220,울산,5.8
1991,1222,울산,4.8
1991,1223,울산,2.7
1991,1224,울산,11.5
1991,1225,울산,44.4
1991,1226,울산,20.3
1991,1227,울산,25.1
1991,1228,울산,0.7
1992,0105,울산,0.5
1992,0106,울산,14.4
1992,0110,울산,4.9
1992,0114,울산,2.5
1992,0131,울산,19.2
1992,0201,울산,2.4
1992,0202,울산,1
1992,0203,울산,20.3
1992,0228,울산,0.1
1992,0229,울산,3.1
1992,0301,울산,0.1
1992,0304,울산,0.2
1992,0305,울산,23.5
1992,0315,울산,3
1992,0316,울산,3.1
1992,0317,울산,5.2
1992,0318,울산,13.8
1992,0320,울산,16.4
1992,0321,울산,13.7
1992,0323,울산,16.9
1992,0324,울산,0.2
1992,0401,울산,7.2
1992,0404,울산,5.5
1992,0409,울산,41.4
1992,0410,울산,43.6
1992,0411,울산,0.4
1992,0415,울산,3.7
1992,0418,울산,0.8
1992,0421,울산,27
1992,0422,울산,11.9
1992,0429,울산,1.8
1992,0430,울산,9.4
1992,0506,울산,0.6
1992,0507,울산,40.2
1992,0508,울산,11.1
1992,0513,울산,3.1
1992,0523,울산,6.1
1992,0524,울산,0.9
1992,0525,울산,8.3
1992,0526,울산,5.3
1992,0527,울산,6.1
1992,0529,울산,4.6
1992,0604,울산,7.3
1992,0607,울산,0.6
1992,0613,울산,0.1
1992,0619,울산,3.8
1992,0623,울산,17.4
1992,0710,울산,27
1992,0712,울산,21.9
1992,0713,울산,2
1992,0714,울산,0.5
1992,0715,울산,0.2
1992,0716,울산,8.4
1992,0717,울산,41.5
1992,0720,울산,2
1992,0804,울산,1.1
1992,0805,울산,32.8
1992,0808,울산,8.6
1992,0812,울산,72
1992,0814,울산,34
1992,0815,울산,30.1
1992,0818,울산,58.2
1992,0819,울산,43.9
1992,0820,울산,0.3
1992,0821,울산,0.2
1992,0825,울산,24.9
1992,0826,울산,12.3
1992,0901,울산,0.4
1992,0908,울산,0.5
1992,0909,울산,47
1992,0913,울산,28.8
1992,0918,울산,0.1
1992,0923,울산,2.9
1992,0924,울산,68.7
1992,0925,울산,1.5
1992,0928,울산,0.6
1992,0929,울산,17.5
1992,1004,울산,6.8
1992,1005,울산,0.3
1992,1014,울산,0.1
1992,1015,울산,0.1
1992,1018,울산,2.2
1992,1023,울산,15.3
