
강수일수
지점/지역명 : 인천

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1991,7.0,10.0,8.0,7.0,7.0,9.0,18.0,8.0,7.0,4.0,6.0,9.0,100.0,14
1992,7.0,10.0,5.0,10.0,11.0,9.0,11.0,11.0,8.0,10.0,8.0,12.0,112.0,4
1993,2.0,7.0,6.0,9.0,9.0,13.0,16.0,14.0,9.0,3.0,13.0,6.0,107.0,8
1994,8.0,3.0,6.0,3.0,12.0,8.0,10.0,10.0,9.0,11.0,9.0,8.0,97.0,21
1995,6.0,2.0,8.0,6.0,5.0,8.0,16.0,16.0,9.0,6.0,6.0,2.0,90.0,27
1996,6.0,2.0,10.0,5.0,6.0,14.0,16.0,9.0,5.0,4.0,13.0,4.0,94.0,25
1997,6.0,4.0,4.0,6.0,15.0,8.0,9.0,7.0,5.0,7.0,8.0,7.0,86.0,29
1998,9.0,8.0,4.0,11.0,7.0,11.0,16.0,18.0,8.0,5.0,8.0,4.0,109.0,6
1999,4.0,3.0,4.0,8.0,10.0,8.0,13.0,11.0,11.0,9.0,9.0,7.0,97.0,20
2000,12.0,4.0,3.0,10.0,10.0,9.0,11.0,15.0,9.0,7.0,6.0,9.0,105.0,9
2001,8.0,8.0,4.0,4.0,5.0,10.0,16.0,9.0,2.0,5.0,5.0,7.0,83.0,30
2002,9.0,4.0,7.0,6.0,9.0,8.0,12.0,20.0,8.0,10.0,4.0,4.0,101.0,12
2003,5.0,7.0,10.0,10.0,6.0,12.0,20.0,18.0,9.0,6.0,11.0,5.0,119.0,2
2004,5.0,4.0,4.0,7.0,15.0,8.0,19.0,6.0,13.0,2.0,9.0,5.0,97.0,19
2005,6.0,4.0,5.0,7.0,6.0,13.0,15.0,16.0,12.0,6.0,7.0,7.0,104.0,11
2006,4.0,6.0,3.0,9.0,7.0,10.0,24.0,7.0,7.0,3.0,10.0,7.0,97.0,18
2007,4.0,2.0,12.0,9.0,9.0,11.0,14.0,13.0,20.0,9.0,6.0,9.0,118.0,3
2008,3.0,4.0,8.0,9.0,8.0,12.0,16.0,14.0,6.0,6.0,4.0,10.0,100.0,13
2009,3.0,4.0,8.0,5.0,8.0,11.0,13.0,10.0,6.0,7.0,10.0,10.0,95.0,24
2010,8.0,9.0,9.0,12.0,10.0,11.0,13.0,20.0,14.0,4.0,7.0,8.0,125.0,1
2011,6.0,2.0,3.0,9.0,9.0,15.0,19.0,16.0,3.0,5.0,11.0,6.0,104.0,10
2012,4.0,0.0,6.0,8.0,4.0,3.0,16.0,17.0,10.0,5.0,14.0,10.0,97.0,17
2013,6.0,8.0,6.0,11.0,8.0,7.0,23.0,8.0,8.0,4.0,10.0,8.0,107.0,7
2014,6.0,3.0,5.0,5.0,9.0,6.0,14.0,13.0,6.0,5.0,9.0,15.0,96.0,23
2015,6.0,5.0,3.0,12.0,6.0,9.0,13.0,10.0,3.0,7.0,15.0,9.0,98.0,15
2016,4.0,8.0,4.0,11.0,8.0,5.0,12.0,4.0,6.0,9.0,11.0,9.0,91.0,26
2017,9.0,6.0,4.0,7.0,4.0,6.0,20.0,14.0,3.0,4.0,9.0,11.0,97.0,16
2018,7.0,6.0,10.0,10.0,12.0,10.0,5.0,9.0,9.0,8.0,6.0,4.0,96.0,22
2019,2.0,3.0,6.0,8.0,3.0,10.0,14.0,9.0,9.0,5.0,7.0,13.0,89.0,28
2020,5.0,10.0,3.0,2.0,15.0,11.0,16.0,21.0,8.0,4.0,8.0,6.0,109.0,5
평균,5.9,5.2,5.9,7.9,8.4,9.5,15.0,12.4,8.1,6.0,8.6,7.7


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
1991,22.0,35.0,17.0,26.0
1992,26.0,31.0,26.0,21.0
1993,24.0,43.0,25.0,17.0
1994,21.0,28.0,29.0,16.0
1995,19.0,40.0,21.0,10.0
1996,21.0,39.0,22.0,14.0
1997,25.0,24.0,20.0,24.0
1998,22.0,45.0,21.0,11.0
1999,22.0,32.0,29.0,23.0
2000,23.0,35.0,22.0,25.0
2001,13.0,35.0,12.0,20.0
2002,22.0,40.0,22.0,16.0
2003,26.0,50.0,26.0,14.0
2004,26.0,33.0,24.0,15.0
2005,18.0,44.0,25.0,17.0
2006,19.0,41.0,20.0,13.0
2007,30.0,38.0,35.0,16.0
2008,25.0,42.0,16.0,17.0
2009,21.0,34.0,23.0,27.0
2010,31.0,44.0,25.0,16.0
2011,21.0,50.0,19.0,10.0
2012,18.0,36.0,29.0,24.0
2013,25.0,38.0,22.0,17.0
2014,19.0,33.0,20.0,26.0
2015,21.0,32.0,25.0,21.0
2016,23.0,21.0,26.0,24.0
2017,15.0,40.0,16.0,24.0
2018,32.0,24.0,23.0,9.0
2019,17.0,33.0,21.0,28.0
2020,20.0,48.0,20.0,16.0
평균	,22.2,36.9,22.7,18.6


강수일수 관측값
연도,날짜,지점,관측값
1991,0101,인천,0.9
1991,0103,인천,1.3
1991,0107,인천,0.5
1991,0115,인천,0.8
1991,0116,인천,0.7
1991,0122,인천,2.6
1991,0124,인천,11
1991,0204,인천,1.1
1991,0207,인천,1
1991,0210,인천,1.7
1991,0211,인천,0.2
1991,0214,인천,0.3
1991,0215,인천,9.8
1991,0220,인천,6
1991,0221,인천,1.7
1991,0227,인천,4
1991,0228,인천,0.5
1991,0308,인천,20.5
1991,0309,인천,0.5
1991,0310,인천,11.5
1991,0311,인천,0.6
1991,0316,인천,1.7
1991,0320,인천,1.3
1991,0326,인천,6.5
1991,0327,인천,6.9
1991,0412,인천,15
1991,0413,인천,4
1991,0417,인천,12
1991,0418,인천,10
1991,0428,인천,0.5
1991,0429,인천,1.5
1991,0430,인천,0.7
1991,0506,인천,5.3
1991,0507,인천,1.4
1991,0508,인천,0.5
1991,0516,인천,3.2
1991,0524,인천,7.8
1991,0525,인천,27.2
1991,0526,인천,26.2
1991,0601,인천,0.1
1991,0602,인천,1.5
1991,0603,인천,2
1991,0609,인천,12.8
1991,0611,인천,19
1991,0612,인천,0.2
1991,0620,인천,0.8
1991,0626,인천,4.5
1991,0629,인천,35.8
1991,0701,인천,0.9
1991,0704,인천,20.4
1991,0707,인천,67.2
1991,0709,인천,0.1
1991,0715,인천,19
1991,0716,인천,1.3
1991,0717,인천,11.5
1991,0719,인천,47.4
1991,0720,인천,32.6
1991,0721,인천,34.6
1991,0722,인천,0.1
1991,0723,인천,16
1991,0724,인천,24.3
1991,0725,인천,84.9
1991,0728,인천,31.8
1991,0729,인천,0.1
1991,0730,인천,13.2
1991,0731,인천,0.7
1991,0801,인천,0.7
1991,0802,인천,40.4
1991,0803,인천,0.2
1991,0804,인천,1.8
1991,0805,인천,13.4
1991,0806,인천,0.1
1991,0823,인천,17
1991,0824,인천,8.1
1991,0903,인천,6.8
1991,0904,인천,96
1991,0905,인천,51.6
1991,0906,인천,2.5
1991,0920,인천,3.9
1991,0926,인천,10
1991,0927,인천,24.4
1991,1004,인천,0.7
1991,1016,인천,19
1991,1024,인천,7.5
1991,1025,인천,4.8
1991,1107,인천,14
1991,1109,인천,3
1991,1116,인천,1.3
1991,1119,인천,8.8
1991,1122,인천,0.3
1991,1123,인천,0.2
1991,1202,인천,0.3
1991,1210,인천,5.6
1991,1211,인천,1
1991,1217,인천,10.9
1991,1223,인천,1.1
1991,1225,인천,11.5
1991,1226,인천,3.2
1991,1227,인천,9
1991,1228,인천,1.8
1992,0106,인천,2.3
1992,0107,인천,0.9
1992,0113,인천,0.5
1992,0114,인천,0.2
1992,0116,인천,3.1
1992,0121,인천,1.3
1992,0131,인천,0.7
1992,0202,인천,0.4
1992,0203,인천,4.2
1992,0206,인천,0.4
1992,0212,인천,0.6
1992,0215,인천,8.8
1992,0218,인천,0.8
1992,0220,인천,0.1
1992,0223,인천,2.3
1992,0228,인천,5
1992,0229,인천,16.2
1992,0301,인천,0.2
1992,0305,인천,5.8
1992,0317,인천,1.1
1992,0318,인천,0.9
1992,0323,인천,2.7
1992,0408,인천,0.8
1992,0409,인천,1
1992,0410,인천,19.2
1992,0411,인천,2.8
1992,0415,인천,5.5
1992,0418,인천,8.7
1992,0421,인천,1.9
1992,0428,인천,4
1992,0429,인천,3
1992,0430,인천,4.3
1992,0506,인천,21
1992,0507,인천,69.3
1992,0508,인천,0.1
1992,0513,인천,14.3
1992,0515,인천,0.1
1992,0516,인천,1.5
1992,0524,인천,0.8
1992,0525,인천,2.5
1992,0526,인천,5.8
1992,0527,인천,0.1
1992,0529,인천,2.5
1992,0604,인천,69.5
1992,0607,인천,3.2
1992,0608,인천,1.5
1992,0609,인천,12.5
1992,0610,인천,2.4
1992,0616,인천,0.1
1992,0618,인천,0.5
1992,0622,인천,0.5
1992,0630,인천,0.6
1992,0702,인천,9.3
1992,0703,인천,4.8
1992,0710,인천,33.3
1992,0711,인천,17
1992,0717,인천,28.7
1992,0718,인천,0.1
1992,0720,인천,0.9
1992,0722,인천,15.3
1992,0727,인천,5.6
1992,0728,인천,1.2
1992,0730,인천,8.5
1992,0807,인천,121.1
1992,0811,인천,1.7
1992,0812,인천,9.1
1992,0814,인천,8.6
1992,0815,인천,3.9
1992,0817,인천,2.1
1992,0824,인천,4.3
1992,0825,인천,17
1992,0826,인천,2
1992,0827,인천,86.4
1992,0828,인천,22
1992,0901,인천,12.8
1992,0902,인천,13.5
1992,0903,인천,2.6
1992,0907,인천,4.2
1992,0912,인천,6.5
1992,0913,인천,7.1
1992,0924,인천,111.8
1992,0929,인천,34
1992,1003,인천,2.9
1992,1004,인천,1.4
1992,1007,인천,3.5
1992,1008,인천,0.5
1992,1017,인천,1
1992,1018,인천,0.2
1992,1023,인천,6.1
1992,1024,인천,1.8
1992,1029,인천,12.8
1992,1030,인천,0.7
1992,1103,인천,6.2
1992,1108,인천,4.5
1992,1109,인천,7.2
1992,1110,인천,2.1
