
碍荐老荐
瘤痢/瘤开疙 : 力林

乞闭 碍荐老荐
楷档,1岿,2岿,3岿,4岿,5岿,6岿,7岿,8岿,9岿,10岿,11岿,12岿,楷钦拌,鉴困
1991,11.0,15.0,15.0,12.0,13.0,13.0,17.0,11.0,12.0,3.0,7.0,11.0,140.0,7
1992,12.0,6.0,20.0,11.0,8.0,7.0,9.0,14.0,10.0,2.0,7.0,13.0,119.0,22
1993,15.0,8.0,12.0,5.0,10.0,12.0,11.0,19.0,9.0,6.0,16.0,9.0,132.0,12
1994,8.0,10.0,9.0,9.0,8.0,9.0,3.0,12.0,5.0,9.0,8.0,10.0,100.0,29
1995,12.0,10.0,9.0,8.0,11.0,12.0,12.0,13.0,9.0,6.0,7.0,9.0,118.0,24
1996,8.0,10.0,11.0,8.0,8.0,17.0,12.0,11.0,3.0,9.0,12.0,10.0,119.0,21
1997,7.0,7.0,10.0,11.0,10.0,9.0,9.0,17.0,8.0,3.0,13.0,12.0,116.0,25
1998,17.0,9.0,8.0,12.0,10.0,17.0,11.0,6.0,10.0,8.0,6.0,6.0,120.0,20
1999,13.0,10.0,15.0,8.0,8.0,13.0,19.0,23.0,16.0,4.0,14.0,8.0,151.0,2
2000,15.0,6.0,9.0,11.0,9.0,17.0,8.0,10.0,13.0,8.0,8.0,4.0,118.0,23
2001,17.0,10.0,9.0,10.0,13.0,13.0,11.0,16.0,10.0,11.0,6.0,18.0,144.0,6
2002,15.0,5.0,9.0,9.0,11.0,8.0,15.0,12.0,10.0,10.0,12.0,18.0,134.0,11
2003,12.0,12.0,14.0,12.0,15.0,13.0,21.0,16.0,10.0,4.0,16.0,10.0,155.0,1
2004,12.0,9.0,11.0,8.0,15.0,10.0,6.0,17.0,15.0,7.0,7.0,5.0,122.0,19
2005,15.0,17.0,10.0,6.0,9.0,4.0,16.0,10.0,6.0,9.0,7.0,15.0,124.0,18
2006,14.0,12.0,11.0,14.0,15.0,11.0,17.0,12.0,14.0,6.0,11.0,12.0,149.0,4
2007,17.0,10.0,6.0,6.0,11.0,12.0,16.0,14.0,16.0,6.0,3.0,11.0,128.0,15
2008,12.0,7.0,12.0,11.0,10.0,18.0,9.0,15.0,16.0,6.0,12.0,11.0,139.0,8
2009,15.0,14.0,10.0,7.0,8.0,10.0,16.0,17.0,10.0,5.0,11.0,15.0,138.0,9
2010,16.0,13.0,17.0,16.0,7.0,10.0,15.0,14.0,15.0,11.0,2.0,13.0,149.0,3
2011,12.0,8.0,6.0,9.0,12.0,15.0,11.0,15.0,8.0,5.0,15.0,14.0,130.0,13
2012,13.0,20.0,10.0,10.0,6.0,8.0,12.0,17.0,11.0,4.0,13.0,22.0,146.0,5
2013,6.0,12.0,6.0,6.0,6.0,17.0,4.0,9.0,10.0,8.0,13.0,12.0,109.0,27
2014,7.0,10.0,9.0,9.0,8.0,9.0,15.0,15.0,11.0,6.0,11.0,17.0,127.0,16
2015,10.0,9.0,9.0,14.0,9.0,15.0,8.0,11.0,9.0,4.0,18.0,12.0,128.0,14
2016,13.0,11.0,8.0,12.0,12.0,14.0,9.0,7.0,16.0,14.0,11.0,10.0,137.0,10
2017,9.0,8.0,8.0,6.0,7.0,7.0,4.0,11.0,9.0,9.0,8.0,11.0,97.0,30
2018,18.0,11.0,10.0,8.0,12.0,12.0,6.0,10.0,13.0,6.0,6.0,13.0,125.0,17
2019,5.0,7.0,9.0,8.0,5.0,8.0,13.0,12.0,17.0,9.0,7.0,7.0,107.0,28
2020,10.0,10.0,8.0,6.0,9.0,12.0,18.0,9.0,14.0,4.0,7.0,6.0,113.0,26
乞闭,12.2,10.2,10.3,9.4,9.8,11.7,11.8,13.2,11.2,6.7,9.8,11.5


乞闭 拌例喊 碍荐老荐
楷档,航(3~5岿),咯抚(6~8岿),啊阑(9~11岿),败匡(12~劳斥2岿)
1991,40.0,41.0,22.0,29.0
1992,39.0,30.0,19.0,36.0
1993,27.0,42.0,31.0,27.0
1994,26.0,24.0,22.0,32.0
1995,28.0,37.0,22.0,27.0
1996,27.0,40.0,24.0,24.0
1997,31.0,35.0,24.0,38.0
1998,30.0,34.0,24.0,29.0
1999,31.0,55.0,34.0,29.0
2000,29.0,35.0,29.0,31.0
2001,32.0,40.0,27.0,38.0
2002,29.0,35.0,32.0,42.0
2003,41.0,50.0,30.0,31.0
2004,34.0,33.0,29.0,37.0
2005,25.0,30.0,22.0,41.0
2006,40.0,40.0,31.0,39.0
2007,23.0,42.0,25.0,30.0
2008,33.0,42.0,34.0,40.0
2009,25.0,43.0,26.0,44.0
2010,40.0,39.0,28.0,33.0
2011,27.0,41.0,28.0,47.0
2012,26.0,37.0,28.0,40.0
2013,18.0,30.0,31.0,29.0
2014,26.0,39.0,28.0,36.0
2015,32.0,34.0,31.0,36.0
2016,32.0,30.0,41.0,27.0
2017,21.0,22.0,26.0,40.0
2018,30.0,28.0,25.0,25.0
2019,22.0,33.0,33.0,27.0
2020,23.0,39.0,25.0,28.0
乞闭	,29.6,36.7,27.7,33.7


碍荐老荐 包螟蔼
楷档,朝楼,瘤痢,包螟蔼
1991,0101,力林,5.2
1991,0104,力林,2.2
1991,0105,力林,3
1991,0107,力林,2.1
1991,0108,力林,0.5
1991,0111,力林,1.3
1991,0120,力林,14.8
1991,0121,力林,49
1991,0122,力林,4.6
1991,0124,力林,5
1991,0129,力林,16.5
1991,0204,力林,0.7
1991,0209,力林,5.4
1991,0210,力林,4.7
1991,0213,力林,7.1
1991,0214,力林,16.8
1991,0215,力林,11.4
1991,0218,力林,0.1
1991,0219,力林,0.5
1991,0220,力林,0.7
1991,0221,力林,0.6
1991,0222,力林,0.5
1991,0223,力林,0.9
1991,0224,力林,2.5
1991,0227,力林,6.4
1991,0228,力林,5.4
1991,0301,力林,3.3
1991,0304,力林,11.9
1991,0307,力林,26
1991,0308,力林,30.8
1991,0310,力林,28
1991,0311,力林,19.4
1991,0315,力林,6.6
1991,0316,力林,1.6
1991,0320,力林,2.1
1991,0321,力林,3.2
1991,0322,力林,38.9
1991,0325,力林,13.5
1991,0326,力林,6.3
1991,0327,力林,8.7
1991,0328,力林,2.9
1991,0406,力林,15.5
1991,0407,力林,15.9
1991,0410,力林,16.7
1991,0411,力林,7.8
1991,0412,力林,1.1
1991,0413,力林,1.6
1991,0417,力林,13.4
1991,0418,力林,3.1
1991,0424,力林,8.3
1991,0426,力林,0.4
1991,0428,力林,3.2
1991,0429,力林,0.6
1991,0506,力林,16.6
1991,0507,力林,1.2
1991,0508,力林,2.5
1991,0511,力林,4.2
1991,0512,力林,3.8
1991,0515,力林,0.3
1991,0519,力林,74.8
1991,0520,力林,45.8
1991,0521,力林,0.8
1991,0526,力林,9.4
1991,0527,力林,0.2
1991,0530,力林,2.8
1991,0531,力林,3.1
1991,0602,力林,12.1
1991,0603,力林,0.7
1991,0608,力林,1.4
1991,0609,力林,42.7
1991,0610,力林,0.3
1991,0613,力林,44.9
1991,0615,力林,50
1991,0616,力林,0.6
1991,0619,力林,1.7
1991,0620,力林,3.7
1991,0625,力林,3.6
1991,0626,力林,11.5
1991,0630,力林,55.5
1991,0701,力林,75.1
1991,0702,力林,12.5
1991,0703,力林,9.4
1991,0704,力林,119.1
1991,0705,力林,3.5
1991,0707,力林,0.5
1991,0708,力林,8.5
1991,0712,力林,13.8
1991,0713,力林,1.3
1991,0714,力林,0.2
1991,0715,力林,13.6
1991,0716,力林,4.6
1991,0726,力林,35.5
1991,0728,力林,7.5
1991,0729,力林,18.4
1991,0730,力林,8.7
1991,0731,力林,6.3
1991,0801,力林,2.9
1991,0804,力林,1.8
1991,0805,力林,4.3
1991,0808,力林,27.7
1991,0809,力林,33.2
1991,0810,力林,7.5
1991,0811,力林,11.4
1991,0812,力林,14.2
1991,0822,力林,55.5
1991,0823,力林,99.7
1991,0824,力林,1.8
1991,0904,力林,1.4
1991,0905,力林,2
1991,0906,力林,29.3
1991,0907,力林,26.5
1991,0908,力林,15.9
1991,0914,力林,37.7
1991,0915,力林,0.2
1991,0920,力林,4.3
1991,0925,力林,10.6
1991,0926,力林,4.6
1991,0927,力林,89.5
1991,0930,力林,14.5
1991,1001,力林,0.3
1991,1004,力林,2.8
1991,1031,力林,19.8
1991,1107,力林,24.9
1991,1108,力林,0.7
1991,1111,力林,0.5
1991,1119,力林,0.3
1991,1122,力林,0.1
1991,1123,力林,15.6
1991,1128,力林,1.6
1991,1208,力林,2.4
1991,1210,力林,0.7
1991,1211,力林,0.4
1991,1212,力林,1.4
1991,1217,力林,6.8
1991,1224,力林,10.5
1991,1225,力林,16.3
1991,1226,力林,2.9
1991,1227,力林,8.8
1991,1228,力林,4
1991,1229,力林,2.2
1992,0101,力林,9.8
1992,0105,力林,16.5
1992,0106,力林,18.3
1992,0109,力林,0.2
1992,0113,力林,10.4
1992,0114,力林,0.3
1992,0116,力林,2.1
1992,0117,力林,1.6
1992,0121,力林,0.1
1992,0129,力林,17.7
1992,0130,力林,1.2
1992,0131,力林,0.3
1992,0201,力林,2
1992,0202,力林,1
1992,0203,力林,12.9
1992,0223,力林,2
1992,0224,力林,3.3
1992,0229,力林,2.2
1992,0301,力林,0.6
1992,0302,力林,2.6
1992,0304,力林,11.7
1992,0305,力林,14.7
1992,0306,力林,0.6
1992,0314,力林,4.8
1992,0315,力林,2.8
1992,0316,力林,33.9
1992,0317,力林,6.5
1992,0318,力林,19.3
1992,0320,力林,34.7
1992,0321,力林,15.7
1992,0322,力林,2.4
1992,0323,力林,11
1992,0324,力林,30.2
1992,0325,力林,3.5
1992,0326,力林,3.6
1992,0327,力林,4.5
1992,0328,力林,3.6
1992,0331,力林,20.8
1992,0401,力林,2
1992,0404,力林,10.6
1992,0408,力林,2.7
1992,0409,力林,32.3
1992,0410,力林,3.4
1992,0415,力林,9.2
1992,0418,力林,5.9
1992,0421,力林,47.6
1992,0422,力林,1.1
1992,0429,力林,27.7
1992,0430,力林,1
1992,0505,力林,15
1992,0506,力林,53.1
1992,0507,力林,10.3
1992,0508,力林,8.8
1992,0513,力林,8
1992,0515,力林,8.2
1992,0517,力林,1
1992,0523,力林,3.1
1992,0604,力林,4.5
1992,0605,力林,0.3
