
강수일수
지점/지역명 : 창원

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1991,6.0,6.0,12.0,5.0,7.0,13.0,18.0,13.0,11.0,1.0,4.0,8.0,104.0,8
1992,6.0,6.0,12.0,11.0,7.0,7.0,8.0,10.0,8.0,4.0,3.0,5.0,87.0,24
1993,5.0,3.0,4.0,2.0,10.0,9.0,17.0,18.0,7.0,2.0,10.0,3.0,90.0,20
1994,3.0,3.0,7.0,8.0,9.0,9.0,4.0,10.0,3.0,7.0,3.0,4.0,70.0,30
1995,5.0,2.0,7.0,10.0,10.0,10.0,14.0,9.0,8.0,5.0,3.0,0.0,83.0,27
1996,4.0,3.0,9.0,5.0,6.0,13.0,9.0,10.0,3.0,4.0,8.0,5.0,79.0,28
1997,3.0,2.0,6.0,9.0,12.0,11.0,14.0,11.0,5.0,0.0,7.0,4.0,84.0,26
1998,8.0,7.0,4.0,13.0,9.0,13.0,16.0,16.0,7.0,4.0,4.0,1.0,102.0,9
1999,3.0,3.0,7.0,8.0,8.0,10.0,17.0,18.0,12.0,6.0,5.0,1.0,98.0,16
2000,7.0,0.0,6.0,10.0,9.0,13.0,10.0,13.0,12.0,8.0,7.0,3.0,98.0,15
2001,6.0,6.0,5.0,5.0,8.0,11.0,14.0,10.0,7.0,6.0,3.0,4.0,85.0,25
2002,7.0,2.0,6.0,7.0,14.0,6.0,16.0,15.0,7.0,9.0,3.0,8.0,100.0,12
2003,5.0,5.0,9.0,12.0,10.0,8.0,22.0,15.0,11.0,3.0,11.0,3.0,114.0,2
2004,0.0,5.0,7.0,9.0,16.0,10.0,12.0,14.0,15.0,3.0,7.0,2.0,100.0,11
2005,5.0,6.0,9.0,8.0,7.0,9.0,14.0,14.0,15.0,4.0,4.0,3.0,98.0,14
2006,5.0,9.0,5.0,12.0,13.0,11.0,21.0,9.0,8.0,4.0,5.0,4.0,106.0,5
2007,4.0,4.0,9.0,6.0,8.0,13.0,13.0,19.0,15.0,7.0,0.0,7.0,105.0,7
2008,7.0,2.0,8.0,8.0,8.0,14.0,13.0,9.0,7.0,2.0,6.0,3.0,87.0,23
2009,3.0,9.0,7.0,6.0,7.0,9.0,20.0,9.0,11.0,4.0,6.0,5.0,96.0,18
2010,3.0,8.0,14.0,14.0,8.0,8.0,18.0,13.0,12.0,5.0,1.0,4.0,108.0,3
2011,0.0,7.0,3.0,10.0,13.0,11.0,16.0,13.0,5.0,7.0,12.0,4.0,101.0,10
2012,4.0,5.0,11.0,11.0,10.0,7.0,12.0,16.0,10.0,2.0,8.0,10.0,106.0,4
2013,3.0,8.0,8.0,8.0,7.0,9.0,11.0,10.0,7.0,6.0,8.0,4.0,89.0,21
2014,4.0,4.0,10.0,8.0,10.0,14.0,18.0,21.0,8.0,6.0,6.0,7.0,116.0,1
2015,7.0,5.0,6.0,16.0,8.0,9.0,11.0,9.0,10.0,2.0,13.0,9.0,105.0,6
2016,5.0,4.0,7.0,12.0,8.0,12.0,10.0,5.0,13.0,9.0,5.0,6.0,96.0,17
2017,3.0,6.0,7.0,6.0,5.0,5.0,15.0,13.0,4.0,7.0,0.0,2.0,73.0,29
2018,4.0,1.0,10.0,8.0,12.0,11.0,8.0,12.0,13.0,4.0,4.0,7.0,94.0,19
2019,4.0,2.0,6.0,9.0,9.0,8.0,14.0,9.0,11.0,7.0,4.0,5.0,88.0,22
2020,7.0,7.0,5.0,5.0,8.0,11.0,21.0,13.0,11.0,2.0,5.0,3.0,98.0,13
평균,4.5,4.7,7.5,8.7,9.2,10.1,14.2,12.5,9.2,4.7,5.5,4.5


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
1991,24.0,44.0,16.0,20.0
1992,30.0,25.0,15.0,13.0
1993,16.0,44.0,19.0,9.0
1994,24.0,23.0,13.0,11.0
1995,27.0,33.0,16.0,7.0
1996,20.0,32.0,15.0,10.0
1997,27.0,36.0,12.0,19.0
1998,26.0,45.0,15.0,7.0
1999,23.0,45.0,23.0,8.0
2000,25.0,36.0,27.0,15.0
2001,18.0,35.0,16.0,13.0
2002,27.0,37.0,19.0,18.0
2003,31.0,45.0,25.0,8.0
2004,32.0,36.0,25.0,13.0
2005,24.0,37.0,23.0,17.0
2006,30.0,41.0,17.0,12.0
2007,23.0,45.0,22.0,16.0
2008,24.0,36.0,15.0,15.0
2009,20.0,38.0,21.0,16.0
2010,36.0,39.0,18.0,11.0
2011,26.0,40.0,24.0,13.0
2012,32.0,35.0,20.0,21.0
2013,23.0,30.0,21.0,12.0
2014,28.0,53.0,20.0,19.0
2015,30.0,29.0,25.0,18.0
2016,27.0,27.0,27.0,15.0
2017,18.0,33.0,11.0,7.0
2018,30.0,31.0,21.0,13.0
2019,24.0,31.0,22.0,19.0
2020,18.0,45.0,18.0,11.0
평균	,25.4,36.9,19.4,13.5


강수일수 관측값
연도,날짜,지점,관측값
1991,0101,마산,0.7
1991,0107,마산,2.9
1991,0120,마산,0.9
1991,0121,마산,22.5
1991,0122,마산,1.1
1991,0124,마산,8.6
1991,0209,마산,5.2
1991,0210,마산,9.3
1991,0214,마산,3.8
1991,0215,마산,19
1991,0222,마산,1.4
1991,0227,마산,9
1991,0304,마산,0.2
1991,0307,마산,13
1991,0308,마산,12
1991,0309,마산,0.2
1991,0310,마산,13.7
1991,0311,마산,15
1991,0316,마산,0.1
1991,0320,마산,0.5
1991,0322,마산,19.6
1991,0325,마산,4.9
1991,0326,마산,5
1991,0327,마산,7
1991,0410,마산,18.3
1991,0413,마산,5
1991,0417,마산,122.5
1991,0418,마산,19.8
1991,0429,마산,0.5
1991,0506,마산,17.2
1991,0507,마산,8.3
1991,0508,마산,1.8
1991,0516,마산,1.8
1991,0524,마산,5.3
1991,0525,마산,6.5
1991,0526,마산,14.7
1991,0601,마산,32.2
1991,0602,마산,56.4
1991,0603,마산,4.7
1991,0609,마산,166
1991,0611,마산,0.4
1991,0612,마산,1.4
1991,0613,마산,5.6
1991,0619,마산,0.1
1991,0626,마산,12.4
1991,0627,마산,0.2
1991,0628,마산,1.5
1991,0629,마산,9.8
1991,0630,마산,0.5
1991,0701,마산,5.7
1991,0702,마산,0.1
1991,0704,마산,29.8
1991,0705,마산,1.8
1991,0707,마산,70.5
1991,0708,마산,8.1
1991,0709,마산,18.9
1991,0710,마산,8
1991,0711,마산,100
1991,0712,마산,28.4
1991,0715,마산,88
1991,0716,마산,0.6
1991,0718,마산,0.1
1991,0719,마산,1.6
1991,0725,마산,28.3
1991,0729,마산,50.5
1991,0730,마산,57.6
1991,0731,마산,78.5
1991,0801,마산,51.5
1991,0802,마산,3.2
1991,0804,마산,7.5
1991,0805,마산,0.2
1991,0807,마산,5.5
1991,0809,마산,66.4
1991,0810,마산,63.8
1991,0811,마산,1
1991,0821,마산,0.1
1991,0822,마산,55.8
1991,0823,마산,264.5
1991,0826,마산,6.7
1991,0829,마산,22.2
1991,0904,마산,10.3
1991,0905,마산,6.8
1991,0906,마산,0.2
1991,0911,마산,5.7
1991,0913,마산,0.5
1991,0914,마산,3.7
1991,0918,마산,0.2
1991,0925,마산,4.4
1991,0926,마산,9
1991,0927,마산,108.9
1991,0930,마산,2.5
1991,1016,마산,3.5
1991,1107,마산,0.3
1991,1119,마산,1
1991,1123,마산,8.5
1991,1128,마산,1.3
1991,1210,마산,5.3
1991,1217,마산,0.9
1991,1223,마산,3.4
1991,1224,마산,13
1991,1225,마산,15.3
1991,1226,마산,0.4
1991,1227,마산,4
1991,1228,마산,0.4
1992,0105,마산,1.3
1992,0106,마산,17.4
1992,0107,마산,0.1
1992,0114,마산,0.2
1992,0129,마산,0.8
1992,0131,마산,4.3
1992,0201,마산,0.1
1992,0202,마산,2.9
1992,0203,마산,16.2
1992,0223,마산,2
1992,0228,마산,2.1
1992,0229,마산,20.8
1992,0301,마산,0.3
1992,0302,마산,0.3
1992,0304,마산,0.2
1992,0305,마산,12
1992,0315,마산,2.4
1992,0316,마산,3.4
1992,0317,마산,4
1992,0318,마산,9
1992,0320,마산,3.5
1992,0321,마산,3.8
1992,0323,마산,18.7
1992,0331,마산,1.5
1992,0401,마산,7
1992,0404,마산,5.7
1992,0409,마산,59.7
1992,0410,마산,35.2
1992,0412,마산,0.4
1992,0415,마산,3.3
1992,0418,마산,0.6
1992,0421,마산,41.9
1992,0422,마산,4.7
1992,0429,마산,4
1992,0430,마산,5.1
1992,0506,마산,0.6
1992,0507,마산,154.8
1992,0508,마산,11.6
1992,0513,마산,6.4
1992,0523,마산,1.5
1992,0525,마산,3.5
1992,0529,마산,1
1992,0604,마산,16.2
1992,0607,마산,4.9
1992,0610,마산,0.4
1992,0618,마산,0.8
1992,0619,마산,13.8
1992,0622,마산,0.5
1992,0623,마산,9.5
1992,0709,마산,1.2
1992,0710,마산,10.4
1992,0712,마산,25.8
1992,0713,마산,2.1
1992,0714,마산,1.2
1992,0715,마산,0.8
1992,0716,마산,30.4
1992,0717,마산,27.6
1992,0805,마산,14.2
1992,0807,마산,11.6
1992,0808,마산,1.4
1992,0812,마산,70.2
1992,0814,마산,40.5
1992,0815,마산,14.6
1992,0818,마산,6
1992,0825,마산,67
1992,0826,마산,17.4
1992,0827,마산,4.2
1992,0902,마산,7.4
1992,0908,마산,4.3
1992,0909,마산,46
1992,0913,마산,44.2
1992,0924,마산,140.7
1992,0925,마산,0.6
1992,0928,마산,5
1992,0929,마산,16.6
1992,1004,마산,7.3
1992,1018,마산,2.8
1992,1019,마산,2
1992,1023,마산,4.4
1992,1105,마산,3.4
1992,1109,마산,4.4
1992,1119,마산,64
1992,1206,마산,53
1992,1207,마산,9.2
1992,1220,마산,11.6
1992,1224,마산,0.1
1992,1227,마산,12.6
1993,0106,마산,1.8
1993,0107,마산,23.2
1993,0109,마산,1.2
1993,0113,마산,3.5
1993,0114,마산,9.4
