
강수일수
지점/지역명 : 천안

평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1991,9.0,13.0,9.0,6.0,7.0,8.0,15.0,9.0,7.0,4.0,7.0,10.0,104.0,17
1992,6.0,8.0,6.0,11.0,7.0,5.0,10.0,10.0,10.0,8.0,7.0,12.0,100.0,22
1993,3.0,8.0,7.0,9.0,8.0,10.0,16.0,17.0,8.0,5.0,11.0,10.0,112.0,10
1994,6.0,4.0,7.0,3.0,9.0,8.0,5.0,9.0,5.0,11.0,5.0,10.0,82.0,30
1995,7.0,3.0,7.0,4.0,5.0,3.0,12.0,15.0,8.0,4.0,10.0,9.0,87.0,28
1996,6.0,3.0,8.0,5.0,5.0,11.0,7.0,8.0,4.0,6.0,13.0,8.0,84.0,29
1997,8.0,6.0,4.0,6.0,16.0,6.0,8.0,9.0,5.0,8.0,10.0,8.0,94.0,26
1998,16.0,10.0,5.0,10.0,6.0,12.0,14.0,19.0,7.0,5.0,10.0,4.0,118.0,6
1999,3.0,4.0,8.0,7.0,8.0,9.0,12.0,13.0,11.0,8.0,8.0,10.0,101.0,19
2000,11.0,6.0,5.0,5.0,6.0,13.0,12.0,17.0,11.0,4.0,7.0,7.0,104.0,16
2001,12.0,6.0,7.0,5.0,4.0,8.0,18.0,10.0,3.0,6.0,7.0,10.0,96.0,24
2002,11.0,3.0,8.0,7.0,6.0,4.0,7.0,19.0,6.0,9.0,10.0,10.0,100.0,21
2003,11.0,9.0,11.0,12.0,6.0,9.0,23.0,20.0,10.0,5.0,12.0,4.0,132.0,3
2004,10.0,9.0,6.0,8.0,12.0,9.0,16.0,9.0,11.0,2.0,7.0,6.0,105.0,15
2005,6.0,6.0,7.0,7.0,8.0,9.0,14.0,21.0,11.0,7.0,8.0,11.0,115.0,8
2006,5.0,7.0,7.0,13.0,7.0,9.0,24.0,11.0,8.0,4.0,9.0,7.0,111.0,11
2007,4.0,3.0,13.0,8.0,12.0,11.0,17.0,20.0,22.0,7.0,8.0,13.0,138.0,1
2008,6.0,5.0,7.0,8.0,6.0,13.0,15.0,12.0,9.0,6.0,8.0,11.0,106.0,13
2009,8.0,3.0,11.0,5.0,9.0,8.0,14.0,9.0,6.0,6.0,9.0,17.0,105.0,14
2010,10.0,11.0,12.0,10.0,9.0,11.0,14.0,21.0,14.0,6.0,4.0,12.0,134.0,2
2011,6.0,3.0,3.0,11.0,11.0,11.0,21.0,16.0,9.0,6.0,10.0,9.0,116.0,7
2012,10.0,5.0,11.0,9.0,3.0,6.0,11.0,18.0,11.0,6.0,16.0,15.0,121.0,5
2013,9.0,8.0,8.0,11.0,6.0,10.0,19.0,11.0,10.0,4.0,16.0,10.0,122.0,4
2014,5.0,5.0,8.0,7.0,8.0,8.0,14.0,16.0,7.0,4.0,10.0,16.0,108.0,12
2015,10.0,6.0,5.0,13.0,6.0,11.0,13.0,10.0,6.0,7.0,15.0,11.0,113.0,9
2016,5.0,8.0,3.0,10.0,7.0,5.0,15.0,9.0,7.0,10.0,7.0,11.0,97.0,23
2017,8.0,5.0,6.0,5.0,5.0,7.0,21.0,16.0,6.0,5.0,8.0,9.0,101.0,18
2018,6.0,4.0,12.0,9.0,8.0,5.0,8.0,8.0,9.0,9.0,5.0,5.0,88.0,27
2019,1.0,4.0,8.0,9.0,6.0,6.0,11.0,13.0,13.0,5.0,9.0,9.0,94.0,25
2020,5.0,10.0,4.0,5.0,11.0,10.0,17.0,17.0,10.0,2.0,6.0,3.0,100.0,20
평균,7.4,6.2,7.4,7.9,7.6,8.5,14.1,13.7,8.8,6.0,9.1,9.6


평균 계절별 강수일수
연도,봄(3~5월),여름(6~8월),가을(9~11월),겨울(12~익년2월)
1991,22.0,32.0,18.0,24.0
1992,24.0,25.0,25.0,23.0
1993,24.0,43.0,24.0,20.0
1994,19.0,22.0,21.0,20.0
1995,16.0,30.0,22.0,18.0
1996,18.0,26.0,23.0,22.0
1997,26.0,23.0,23.0,34.0
1998,21.0,45.0,22.0,11.0
1999,23.0,34.0,27.0,27.0
2000,16.0,42.0,22.0,25.0
2001,16.0,36.0,16.0,24.0
2002,21.0,30.0,25.0,30.0
2003,29.0,52.0,27.0,23.0
2004,26.0,34.0,20.0,18.0
2005,22.0,44.0,26.0,23.0
2006,27.0,44.0,21.0,14.0
2007,33.0,48.0,37.0,24.0
2008,21.0,40.0,23.0,22.0
2009,25.0,31.0,21.0,38.0
2010,31.0,46.0,24.0,21.0
2011,25.0,48.0,25.0,24.0
2012,23.0,35.0,33.0,32.0
2013,25.0,40.0,30.0,20.0
2014,23.0,38.0,21.0,32.0
2015,24.0,34.0,28.0,24.0
2016,20.0,29.0,24.0,24.0
2017,16.0,44.0,19.0,19.0
2018,29.0,21.0,23.0,10.0
2019,23.0,30.0,27.0,24.0
2020,20.0,44.0,18.0,17.0
평균	,22.9,36.3,23.8,22.9


강수일수 관측값
연도,날짜,지점,관측값
1991,0101,천안,1
1991,0103,천안,1.3
1991,0105,천안,2.1
1991,0107,천안,2.2
1991,0115,천안,0.1
1991,0117,천안,1.4
1991,0121,천안,1.6
1991,0122,천안,0.2
1991,0124,천안,5.6
1991,0204,천안,0.7
1991,0207,천안,3
1991,0209,천안,4
1991,0210,천안,7.9
1991,0211,천안,1.8
1991,0214,천안,1
1991,0215,천안,12.6
1991,0220,천안,2.7
1991,0221,천안,2.7
1991,0222,천안,0.9
1991,0223,천안,0.5
1991,0227,천안,4.6
1991,0228,천안,1.7
1991,0308,천안,29
1991,0309,천안,1.5
1991,0310,천안,15
1991,0311,천안,3.2
1991,0316,천안,0.3
1991,0320,천안,0.3
1991,0326,천안,14.5
1991,0327,천안,11.2
1991,0331,천안,0.1
1991,0412,천안,7.5
1991,0413,천안,7.8
1991,0417,천안,26.8
1991,0418,천안,6
1991,0429,천안,2
1991,0430,천안,1.5
1991,0506,천안,2.5
1991,0507,천안,1.2
1991,0508,천안,2.7
1991,0516,천안,3.6
1991,0524,천안,18.5
1991,0525,천안,40.5
1991,0526,천안,80
1991,0601,천안,0.5
1991,0603,천안,0.2
1991,0609,천안,19.5
1991,0611,천안,46
1991,0612,천안,1
1991,0626,천안,1.7
1991,0629,천안,4
1991,0630,천안,0.2
1991,0707,천안,29
1991,0709,천안,2.7
1991,0710,천안,9.2
1991,0711,천안,4
1991,0712,천안,4.1
1991,0714,천안,9.5
1991,0715,천안,25.5
1991,0716,천안,0.5
1991,0717,천안,10
1991,0718,천안,8.3
1991,0723,천안,43.5
1991,0724,천안,56.5
1991,0725,천안,23.5
1991,0729,천안,0.5
1991,0730,천안,2.5
1991,0801,천안,6.2
1991,0802,천안,40
1991,0804,천안,4.8
1991,0805,천안,2.5
1991,0809,천안,17.3
1991,0822,천안,2.5
1991,0823,천안,14.5
1991,0824,천안,6
1991,0825,천안,0.5
1991,0903,천안,6
1991,0904,천안,64.3
1991,0905,천안,68.5
1991,0906,천안,60
1991,0920,천안,10
1991,0926,천안,20
1991,0927,천안,65.2
1991,1004,천안,1
1991,1016,천안,11.2
1991,1024,천안,3.5
1991,1025,천안,3
1991,1107,천안,6
1991,1109,천안,0.5
1991,1110,천안,2.5
1991,1111,천안,0.5
1991,1119,천안,0.5
1991,1122,천안,0.3
1991,1123,천안,1.5
1991,1210,천안,3
1991,1211,천안,1.5
1991,1212,천안,1.2
1991,1217,천안,13.5
1991,1223,천안,0.4
1991,1224,천안,0.1
1991,1225,천안,11
1991,1226,천안,3.5
1991,1227,천안,11.8
1991,1228,천안,1.5
1992,0106,천안,3
1992,0107,천안,2.5
1992,0109,천안,0.1
1992,0114,천안,0.2
1992,0116,천안,2.3
1992,0131,천안,1.2
1992,0202,천안,0.3
1992,0203,천안,8.4
1992,0206,천안,0.5
1992,0215,천안,1.5
1992,0218,천안,0.2
1992,0220,천안,0.3
1992,0223,천안,2.5
1992,0228,천안,2.5
1992,0301,천안,0.3
1992,0305,천안,9
1992,0317,천안,0.4
1992,0318,천안,4.5
1992,0323,천안,8.5
1992,0324,천안,0.5
1992,0401,천안,0.1
1992,0408,천안,2
1992,0409,천안,15
1992,0410,천안,29
1992,0411,천안,3
1992,0415,천안,2
1992,0418,천안,14.5
1992,0421,천안,5.5
1992,0428,천안,0.3
1992,0429,천안,2.5
1992,0430,천안,3.5
1992,0506,천안,2.5
1992,0507,천안,25
1992,0508,천안,0.2
1992,0513,천안,14
1992,0525,천안,8
1992,0527,천안,1
1992,0529,천안,0.3
1992,0604,천안,34
1992,0607,천안,1
1992,0609,천안,4
1992,0610,천안,3.5
1992,0613,천안,3.5
1992,0702,천안,19.5
1992,0703,천안,3.5
1992,0710,천안,47.5
1992,0711,천안,1.5
1992,0712,천안,6
1992,0715,천안,17.5
1992,0717,천안,14
1992,0720,천안,2.5
1992,0722,천안,0.5
1992,0730,천안,16
1992,0807,천안,23
1992,0811,천안,2.5
1992,0812,천안,31.5
1992,0814,천안,19.5
1992,0815,천안,12.5
1992,0817,천안,29.5
1992,0824,천안,7
1992,0825,천안,16.5
1992,0826,천안,27
1992,0827,천안,162.5
1992,0901,천안,2.5
1992,0902,천안,11
1992,0903,천안,0.5
1992,0907,천안,14
1992,0908,천안,2
1992,0912,천안,1
1992,0913,천안,8
1992,0924,천안,90.5
1992,0928,천안,0.5
1992,0929,천안,9.5
1992,1003,천안,4.5
1992,1004,천안,1.5
1992,1017,천안,1.5
1992,1023,천안,1
1992,1024,천안,5
1992,1025,천안,2.5
1992,1029,천안,1
1992,1030,천안,1
1992,1103,천안,2
1992,1108,천안,4
1992,1109,천안,11.5
1992,1110,천안,10.5
1992,1113,천안,2
1992,1119,천안,10
1992,1126,천안,1.4
1992,1206,천안,20.5
1992,1207,천안,8
1992,1209,천안,1
1992,1210,천안,11
1992,1213,천안,1
1992,1216,천안,0.6
1992,1221,천안,1.5
1992,1222,천안,0.5
1992,1223,천안,2.3
